"w1","w2","count"
"of","the",113
"in","the",81
"to","be",51
"to","the",51
"on","the",35
"of","a",30
"for","the",28
"from","the",26
"is","the",26
"is","not",23
"does","not",22
"of","this",21
"that","the",21
"in","a",20
"that","i",20
"and","the",19
"by","the",19
"the","most",19
"in","this",17
"to","make",17
"may","be",15
"the","same",15
"and","that",14
"than","the",14
"this","is",14
"which","is",14
"with","a",14
"with","the",14
"a","certain",13
"about","the",13
"and","women",13
"as","the",13
"men","and",13
"number","of",13
"the","other",13
"to","a",13
"and","i",12
"and","in",12
"i","would",12
"in","which",12
"that","is",12
"that","they",12
"as","a",11
"it","has",11
"of","our",11
"have","been",10
"the","way",10
"would","be",10
"it","may",9
"of","its",9
"that","we",9
"to","us",9
"trying","to",9
"us","to",9
"able","to",8
"and","more",8
"as","it",8
"because","it",8
"but","the",8
"can","be",8
"part","of",8
"and","if",7
"are","more",7
"due","to",7
"for","a",7
"if","you",7
"of","these",7
"seems","to",7
"so","many",7
"to","do",7
"try","to",7
"we","have",7
"which","are",7
"a","man",6
"believe","in",6
"of","being",6
"of","course",6
"of","women",6
"one","of",6
"saying","that",6
"that","all",6
"those","who",6
"to","an",6
"to","have",6
"to","say",6
"am","not",5
"and","a",5
"and","to",5
"and","we",5
"as","much",5
"but","i",5
"each","of",5
"going","to",5
"leads","to",5
"mean","that",5
"much","more",5
"need","to",5
"of","that",5
"of","their",5
"on","a",5
"rather","than",5
"so","much",5
"the","following",5
"the","left",5
"the","right",5
"to","our",5
"to","their",5
"to","this",5
"we","can",5
"we","would",5
"what","we",5
"and","it",4
"because","of",4
"but","we",4
"comes","to",4
"does","this",4
"fear","of",4
"for","example",4
"for","this",4
"have","a",4
"in","life",4
"in","these",4
"is","as",4
"is","more",4
"is","that",4
"it","in",4
"just","as",4
"much","as",4
"not","be",4
"that","were",4
"the","rest",4
"them","to",4
"to","give",4
"to","take",4
"want","to",4
"we","dont",4
"when","it",4
"you","want",4
"about","a",3
"about","it",3
"and","without",3
"any","of",3
"are","a",3
"are","just",3
"are","still",3
"are","to",3
"at","an",3
"based","on",3
"be","seen",3
"been","able",3
"but","its",3
"but","this",3
"case","of",3
"diversity","is",3
"dont","see",3
"for","certain",3
"forms","of",3
"give","a",3
"have","more",3
"have","the",3
"i","may",3
"i","think",3
"idea","of",3
"in","many",3
"in","our",3
"in","their",3
"interest","in",3
"into","the",3
"is","why",3
"it","a",3
"its","a",3
"lack","of",3
"make","it",3
"open","and",3
"or","that",3
"phenomenon","of",3
"reasons","for",3
"result","of",3
"should","be",3
"terms","of",3
"than","that",3
"that","are",3
"the","benefits",3
"the","human",3
"the","latter",3
"to","certain",3
"to","change",3
"to","express",3
"we","all",3
"we","really",3
"we","see",3
"what","the",3
"which","they",3
"which","were",3
"who","are",3
"why","i",3
"a","high",2
"a","phenomenon",2
"agree","with",2
"allow","those",2
"an","open",2
"and","because",2
"and","can",2
"and","even",2
"and","generally",2
"and","just",2
"and","other",2
"and","special",2
"and","why",2
"are","too",2
"as","long",2
"as","soon",2
"as","we",2
"attention","to",2
"be","able",2
"be","more",2
"been","done",2
"before","this",2
"both","our",2
"both","the",2
"but","not",2
"by","our",2
"can","do",2
"criticism","from",2
"difference","between",2
"effects","and",2
"elements","of",2
"far","from",2
"groups","of",2
"has","made",2
"has","the",2
"however","to",2
"i","dont",2
"ideas","that",2
"important","for",2
"is","being",2
"is","by",2
"is","generally",2
"is","just",2
"is","one",2
"it","comes",2
"it","if",2
"it","requires",2
"its","not",2
"its","still",2
"long","as",2
"may","have",2
"may","not",2
"methods","of",2
"mind","that",2
"most","important",2
"natural","and",2
"no","means",2
"not","as",2
"of","discussion",2
"of","those",2
"on","some",2
"only","facts",2
"or","in",2
"others","in",2
"perspective","of",2
"point","is",2
"relative","to",2
"removed","from",2
"required","to",2
"see","as",2
"should","keep",2
"similar","to",2
"soon","as",2
"speak","about",2
"suggestions","i",2
"tend","to",2
"tendency","to",2
"tends","to",2
"that","exists",2
"that","may",2
"that","what",2
"the","complete",2
"the","examples",2
"the","extreme",2
"the","fear",2
"the","opposite",2
"the","perspective",2
"the","potential",2
"the","public",2
"the","whole",2
"these","areas",2
"these","two",2
"they","do",2
"this","but",2
"to","achieve",2
"to","avoid",2
"to","deal",2
"to","develop",2
"to","gain",2
"to","get",2
"to","justify",2
"to","reduce",2
"to","stop",2
"to","understand",2
"to","what",2
"to","work",2
"up","and",2
"very","much",2
"victims","of",2
"view","of",2
"which","has",2
"which","makes",2
"with","its",2
