"w1","w2","count"
"going","to",93
"of","the",91
"to","be",55
"in","the",49
"and","i",45
"i","dont",40
"i","think",39
"to","do",39
"to","the",36
"we","have",33
"on","the",32
"some","of",27
"but","i",24
"for","the",24
"and","the",23
"want","to",23
"by","the",21
"the","way",20
"of","our",19
"to","get",19
"would","be",19
"that","i",18
"i","would",17
"and","we",16
"with","the",16
"for","a",15
"look","at",15
"that","were",15
"about","it",14
"its","a",14
"very","important",14
"about","the",13
"and","women",13
"dont","think",13
"have","a",13
"if","you",13
"men","and",13
"that","we",13
"able","to",12
"but","we",12
"from","the",12
"im","not",12
"its","not",12
"one","of",12
"that","the",12
"the","most",12
"we","should",12
"be","able",11
"have","been",11
"if","we",11
"of","these",11
"the","other",11
"very","much",11
"and","that",10
"deal","with",10
"dont","have",10
"i","may",10
"in","this",10
"should","be",10
"the","public",10
"to","make",10
"which","is",10
"and","a",9
"because","of",9
"the","same",9
"this","is",9
"to","have",9
"and","if",8
"and","it",8
"people","and",8
"to","take",8
"as","a",7
"as","the",7
"but","its",7
"but","the",7
"have","the",7
"in","a",7
"may","be",7
"of","this",7
"so","much",7
"think","its",7
"to","say",7
"we","can",7
"we","dont",7
"with","a",7
"and","in",6
"be","very",6
"for","those",6
"into","the",6
"is","that",6
"much","of",6
"of","a",6
"of","people",6
"that","are",6
"the","right",6
"the","white",6
"to","work",6
"up","and",6
"we","need",6
"a","certain",5
"and","ive",5
"because","theyre",5
"doing","this",5
"have","an",5
"i","cant",5
"i","hope",5
"in","many",5
"in","our",5
"is","not",5
"is","the",5
"it","in",5
"many","of",5
"need","to",5
"of","being",5
"of","that",5
"of","those",5
"of","women",5
"on","a",5
"part","of",5
"so","you",5
"that","have",5
"that","is",5
"that","they",5
"to","deal",5
"to","stop",5
"trying","to",5
"we","cant",5
"why","we",5
"work","on",5
"and","just",4
"and","our",4
"and","to",4
"discussion","about",4
"having","a",4
"in","terms",4
"never","have",4
"other","side",4
"saying","that",4
"terms","of",4
"the","problem",4
"to","give",4
"we","never",4
"were","doing",4
"what","we",4
"you","want",4
"about","a",3
"an","honest",3
"and","is",3
"and","other",3
"any","of",3
"are","just",3
"as","it",3
"ashamed","of",3
"bad","for",3
"be","doing",3
"but","our",3
"by","our",3
"can","be",3
"can","do",3
"doing","is",3
"dont","see",3
"each","of",3
"for","more",3
"for","this",3
"government","and",3
"have","more",3
"i","consider",3
"if","its",3
"interest","in",3
"interpreted","as",3
"is","we",3
"it","has",3
"ive","seen",3
"jobs","in",3
"left","and",3
"make","it",3
"many","other",3
"mean","that",3
"member","of",3
"might","be",3
"now","the",3
"of","course",3
"of","its",3
"people","with",3
"seen","in",3
"than","that",3
"that","all",3
"that","for",3
"that","im",3
"that","some",3
"the","false",3
"these","are",3
"think","the",3
"to","a",3
"to","change",3
"to","our",3
"to","protect",3
"to","us",3
"us","and",3
"we","havent",3
"what","the",3
"what","were",3
"when","it",3
"who","are",3
"a","man",2
"a","result",2
"about","this",2
"agree","with",2
"also","when",2
"am","not",2
"and","bad",2
"and","can",2
"and","dont",2
"and","isnt",2
"anything","about",2
"are","a",2
"as","long",2
"as","some",2
"as","soon",2
"at","an",2
"be","and",2
"be","in",2
"because","it",2
"bias","and",2
"but","not",2
"but","that",2
"but","this",2
"cant","have",2
"change","the",2
"comes","to",2
"created","a",2
"discussed","the",2
"done","in",2
"exactly","what",2
"facts","and",2
"for","each",2
"from","those",2
"give","a",2
"go","over",2
"have","good",2
"have","lower",2
"how","much",2
"id","be",2
"in","addition",2
"is","as",2
"is","bad",2
"is","being",2
"is","by",2
"is","good",2
"is","illegal",2
"is","more",2
"is","unfair",2
"is","why",2
"it","a",2
"it","comes",2
"it","if",2
"its","many",2
"ive","heard",2
"like","they",2
"long","as",2
"makes","it",2
"making","it",2
"may","not",2
"mentioned","before",2
"much","more",2
"necessary","for",2
"not","all",2
"not","as",2
"not","just",2
"number","of",2
"of","work",2
"on","front",2
"on","how",2
"on","some",2
"only","one",2
"out","the",2
"people","as",2
"people","who",2
"programs","and",2
"relative","to",2
"respect","for",2
"rest","of",2
"safety","and",2
"said","in",2
"so","its",2
"so","many",2
"solve","the",2
"soon","as",2
"that","dont",2
"that","too",2
"that","what",2
"the","facts",2
"the","political",2
"the","rest",2
"the","whole",2
"their","own",2
"them","to",2
"these","jobs",2
"they","do",2
"this","case",2
"this","has",2
"this","to",2
"those","who",2
"to","discuss",2
"to","look",2
"to","solve",2
"to","this",2
"to","understand",2
"to","what",2
"told","by",2
"unfair","and",2
"very","happy",2
"victims","of",2
"want","a",2
"we","really",2
"we","talk",2
"we","would",2
"why","its",2
"with","many",2
"would","never",2
"you","cant",2
