"w1","w2","count"
"of","the",44
"in","the",43
"going","to",38
"to","be",38
"for","the",24
"have","to",23
"thank","you",19
"of","our",18
"at","the",17
"we","have",17
"i","said",14
"one","of",14
"a","lot",13
"this","is",13
"and","i",12
"i","have",12
"to","do",12
"it","is",11
"to","have",11
"a","great",10
"a","new",10
"and","we",10
"in","this",10
"over","the",10
"to","the",10
"you","have",10
"and","the",9
"by","the",9
"is","a",9
"many","of",9
"more","than",9
"of","a",9
"on","the",9
"to","get",9
"you","know",9
"and","a",8
"as","a",8
"has","been",8
"if","you",8
"in","our",8
"of","those",8
"of","you",8
"part","of",8
"so","much",8
"some","of",8
"the","best",8
"want","to",8
"will","be",8
"with","a",8
"with","the",8
"years","ago",8
"at","a",7
"for","our",7
"have","been",7
"i","dont",7
"lot","of",7
"so","i",7
"to","build",7
"a","big",6
"all","the",6
"as","the",6
"from","the",6
"i","hope",6
"i","think",6
"i","will",6
"if","we",6
"in","your",6
"is","the",6
"of","them",6
"out","of",6
"team","and",6
"that","are",6
"that","i",6
"that","is",6
"that","we",6
"the","first",6
"the","most",6
"the","same",6
"the","world",6
"there","is",6
"to","make",6
"to","see",6
"was","a",6
"we","had",6
"you","think",6
"a","good",5
"and","its",5
"are","in",5
"are","the",5
"back","to",5
"be","a",5
"but","the",5
"have","a",5
"i","am",5
"i","was",5
"i","would",5
"of","their",5
"of","this",5
"see","the",5
"that","was",5
"the","great",5
"the","next",5
"them","and",5
"they","are",5
"to","say",5
"to","work",5
"we","are",5
"we","can",5
"we","need",5
"would","be",5
"would","have",5
"you","can",5
"you","got",5
"a","little",4
"a","very",4
"all","of",4
"all","time",4
"and","it",4
"and","then",4
"as","we",4
"as","you",4
"be","the",4
"do","it",4
"do","that",4
"do","you",4
"dont","even",4
"for","a",4
"for","you",4
"for","your",4
"good","job",4
"had","a",4
"is","he",4
"is","no",4
"it","in",4
"it","was",4
"it","will",4
"its","not",4
"no","one",4
"of","these",4
"one","is",4
"one","that",4
"respect","for",4
"that","deal",4
"the","right",4
"think","about",4
"thousands","of",4
"time","for",4
"to","improve",4
"to","keep",4
"to","take",4
"to","win",4
"very","much",4
"what","we",4
"when","i",4
"will","have",4
"with","our",4
"with","us",4
"you","thank",4
"you","want",4
"about","it",3
"and","by",3
"and","many",3
"and","one",3
"and","that",3
"and","this",3
"and","to",3
"and","weve",3
"as","an",3
"as","i",3
"been","a",3
"build","a",3
"building","a",3
"but","i",3
"but","we",3
"could","be",3
"deal","i",3
"did","a",3
"dont","have",3
"during","the",3
"for","many",3
"get","the",3
"given","the",3
"have","had",3
"have","the",3
"he","was",3
"his","first",3
"hope","that",3
"how","it",3
"how","much",3
"i","wont",3
"if","they",3
"in","their",3
"is","an",3
"it","and",3
"it","more",3
"its","a",3
"like","a",3
"make","it",3
"make","the",3
"much","more",3
"need","it",3
"night","in",3
"now","is",3
"of","any",3
"of","it",3
"on","this",3
"out","to",3
"said","to",3
"set","of",3
"something","that",3
"sort","of",3
"that","our",3
"that","the",3
"the","biggest",3
"the","last",3
"the","middle",3
"them","in",3
"there","are",3
"these","things",3
"they","have",3
"this","one",3
"to","happen",3
"to","this",3
"to","trade",3
"up","the",3
"used","to",3
"we","do",3
"we","dont",3
"were","not",3
"what","the",3
"who","have",3
"with","you",3
"years","and",3
"you","dont",3
"you","i",3
"you","so",3
"youre","going",3
"a","couple",2
"a","future",2
"a","long",2
"a","man",2
"able","to",2
"abraham","lincoln",2
"across","the",2
"added","a",2
"along","with",2
"and","even",2
"and","for",2
"as","part",2
"at","our",2
"be","really",2
"beautiful","new",2
"because","its",2
"because","of",2
"being","a",2
"bit","more",2
"born","in",2
"but","also",2
"called","the",2
"cant","be",2
"couple","of",2
"do","this",2
"doing","it",2
"dont","know",2
"dont","want",2
"fear","and",2
"filled","with",2
"first","and",2
"for","another",2
"forward","to",2
"gave","me",2
"half","the",2
"has","ever",2
"how","many",2
"i","ever",2
"i","now",2
"i","see",2
"i","should",2
"i","still",2
"improve","our",2
"in","fact",2
"in","science",2
"into","our",2
"into","the",2
"is","at",2
"is","great",2
"is","now",2
"is","so",2
"is","time",2
"it","again",2
"it","you",2
"its","an",2
"ive","done",2
"job","for",2
"just","as",2
"just","like",2
"just","so",2
"let","us",2
"like","that",2
"like","the",2
"make","money",2
"many","years",2
"most","people",2
"not","just",2
"of","all",2
"of","which",2
"of","work",2
"office","i",2
"old","fashioned",2
"on","and",2
"on","my",2
"one","has",2
"one","will",2
"only","have",2
"our","children",2
"our","first",2
"out","with",2
"people","of",2
"picture","the",2
"points","and",2
"real","and",2
"said","that",2
"see","it",2
"so","if",2
"so","often",2
"stand","on",2
"still","have",2
"than","i",2
"that","its",2
"that","really",2
"thats","been",2
"thats","not",2
"the","business",2
"the","highest",2
"the","job",2
"the","second",2
"the","south",2
"the","time",2
"then","the",2
"then","we",2
"they","were",2
"they","would",2
"think","of",2
"this","and",2
"time","and",2
"to","address",2
"to","all",2
"to","come",2
"to","compete",2
"to","know",2
"to","one",2
"to","stay",2
"to","that",2
"to","them",2
"turned","out",2
"under","our",2
"us","a",2
"very","very",2
"vote","for",2
"was","in",2
"was","the",2
"we","make",2
"well","i",2
"what","i",2
"whats","happening",2
"when","he",2
"where","a",2
"who","will",2
"will","ever",2
"with","new",2
"work","but",2
"work","to",2
"world","to",2
"worthy","of",2
"year","or",2
"years","old",2
"you","and",2
"you","do",2
"you","for",2
"you","on",2
"you","understand",2
"youre","wrong",2
