"w1","w2","count"
"of","the",319
"in","the",123
"to","the",106
"to","be",87
"for","the",81
"that","the",71
"by","the",58
"is","not",54
"would","be",52
"and","the",51
"as","a",50
"in","a",48
"may","be",48
"for","example",47
"of","a",46
"on","the",44
"that","is",43
"with","the",41
"to","make",35
"can","be",33
"of","our",33
"to","a",33
"have","been",32
"of","human",30
"people","who",30
"the","same",30
"to","have",30
"that","they",29
"the","human",29
"from","the",28
"does","not",26
"some","of",26
"we","have",26
"is","the",25
"form","of",23
"in","which",23
"tend","to",23
"that","are",23
"the","most",23
"their","own",23
"drive","for",22
"but","the",21
"into","the",21
"of","their",21
"this","is",21
"have","a",20
"it","may",20
"not","be",20
"of","people",20
"than","the",20
"to","do",20
"a","society",19
"and","that",19
"for","a",19
"is","that",19
"that","we",19
"those","who",19
"want","to",19
"in","our",18
"of","these",18
"should","be",18
"the","majority",18
"with","a",18
"about","the",17
"on","a",17
"tends","to",17
"to","get",17
"and","more",16
"but","we",16
"in","many",16
"rather","than",16
"an","individual",15
"majority","of",15
"society","is",15
"the","other",15
"the","way",15
"who","are",15
"and","it",14
"due","to",14
"in","part",14
"of","course",14
"to","give",14
"to","take",14
"we","can",14
"as","we",13
"because","it",13
"in","their",13
"in","this",13
"many","of",13
"one","of",13
"and","other",12
"because","of",12
"need","to",12
"people","to",12
"the","social",12
"able","to",11
"as","it",11
"be","in",11
"is","more",11
"lead","to",11
"number","of",11
"only","one",11
"part","of",11
"that","can",11
"that","have",11
"the","population",11
"to","solve",11
"and","we",10
"are","more",10
"as","the",10
"might","be",10
"most","important",10
"necessary","for",10
"the","whole",10
"they","do",10
"to","avoid",10
"which","is",10
"a","more",9
"and","in",9
"and","to",9
"be","able",9
"have","an",9
"lack","of",9
"leads","to",9
"long","as",9
"member","of",9
"of","its",9
"of","this",9
"result","of",9
"them","to",9
"to","say",9
"trying","to",9
"we","dont",9
"you","cant",9
"and","a",8
"as","long",8
"clear","that",8
"going","to",8
"if","we",8
"may","not",8
"people","and",8
"that","were",8
"the","left",8
"the","problem",8
"the","public",8
"these","are",8
"to","protect",8
"try","to",8
"what","we",8
"a","certain",7
"a","result",7
"be","more",7
"believe","in",7
"but","this",7
"can","do",7
"case","of",7
"differences","in",7
"human","nature",7
"is","clear",7
"is","necessary",7
"it","has",7
"just","as",7
"many","other",7
"needs","to",7
"of","that",7
"on","their",7
"political","correctness",7
"they","need",7
"to","gain",7
"to","increase",7
"too","much",7
"which","they",7
"a","social",6
"and","only",6
"change","is",6
"focus","on",6
"for","status",6
"for","this",6
"it","in",6
"not","all",6
"or","in",6
"stress","and",6
"than","that",6
"that","all",6
"that","some",6
"that","these",6
"the","status",6
"the","strong",6
"then","the",6
"those","that",6
"to","develop",6
"to","our",6
"to","stop",6
"to","their",6
"to","us",6
"to","work",6
"without","the",6
"a","man",5
"any","of",5
"are","just",5
"be","very",5
"but","these",5
"can","never",5
"contrary","to",5
"each","of",5
"effect","of",5
"engineering","of",5
"for","those",5
"have","the",5
"how","much",5
"in","these",5
"increase","the",5
"is","already",5
"make","it",5
"may","have",5
"methods","of",5
"not","as",5
"of","being",5
"of","women",5
"people","with",5
"progress","in",5
"seems","to",5
"seen","as",5
"similar","to",5
"system","of",5
"that","for",5
"that","may",5
"there","may",5
"this","may",5
"we","cant",5
"we","see",5
"when","a",5
"which","people",5
"a","minority",4
"a","tool",4
"and","act",4
"and","because",4
"and","if",4
"and","is",4
"and","self",4
"and","social",4
"are","a",4
"are","to",4
"are","too",4
"as","part",4
"but","not",4
"but","that",4
"but","when",4
"by","no",4
"cant","have",4
"explain","why",4
"forms","of",4
"has","shown",4
"having","a",4
"idea","of",4
"in","mind",4
"individual","or",4
"is","by",4
"is","currently",4
"is","defined",4
"is","good",4
"is","important",4
"is","one",4
"its","not",4
"look","at",4
"much","of",4
"no","means",4
"of","those",4
"reasons","for",4
"scientists","and",4
"seen","in",4
"the","political",4
"the","rest",4
"the","right",4
"the","weak",4
"throughout","the",4
"to","an",4
"to","change",4
"to","create",4
"to","express",4
"to","overthrow",4
"to","psychological",4
"too","far",4
"us","to",4
"variety","of",4
"very","important",4
"very","little",4
"way","they",4
"we","all",4
"when","it",4
"which","are",4
"a","form",3
"a","functioning",3
"a","phenomenon",3
"a","variety",3
"about","it",3
"about","this",3
"all","have",3
"and","economically",3
"and","even",3
"are","necessary",3
"as","men",3
"as","much",3
"as","society",3
"as","soon",3
"as","with",3
"ashamed","of",3
"assuming","that",3
"attention","to",3
"back","in",3
"bad","for",3
"be","seen",3
"be","strong",3
"been","able",3
"behavior","to",3
"benefits","of",3
"breaking","down",3
"causes","and",3
"change","that",3
"conservatives","are",3
"created","a",3
"develop","and",3
"difference","between",3
"does","this",3
"doing","this",3
"dont","have",3
"evidence","that",3
"extent","but",3
"fear","of",3
"feelings","and",3
"for","more",3
"for","people",3
"freedom","from",3
"from","those",3
"get","ahead",3
"has","the",3
"have","more",3
"have","them",3
"if","you",3
"in","contrast",3
"in","social",3
"in","terms",3
"interest","in",3
"interpreted","as",3
"is","actually",3
"is","seen",3
"is","why",3
"it","requires",3
"its","employees",3
"makes","it",3
"mean","that",3
"much","more",3
"of","political",3
"of","psychological",3
"on","how",3
"or","race",3
"or","that",3
"people","as",3
"people","generally",3
"personality","traits",3
"reduce","the",3
"rest","of",3
"so","many",3
"so","much",3
"social","scientists",3
"soon","as",3
"study","and",3
"tendency","to",3
"terms","of",3
"that","exists",3
"that","not",3
"the","facts",3
"the","latter",3
"the","opposite",3
"the","white",3
"thing","to",3
"thinking","about",3
"to","certain",3
"to","correct",3
"to","reduce",3
"up","and",3
"we","would",3
"what","the",3
"which","would",3
"with","many",3
"women","are",3
"work","on",3
"would","never",3
"a","better",2
"a","component",2
"a","high",2
"about","a",2
"about","other",2
"about","these",2
"achieve","a",2
"actually","a",2
"against","which",2
"and","an",2
"and","bad",2
"and","create",2
"and","dont",2
"and","generally",2
"and","political",2
"and","raised",2
"and","thus",2
"and","without",2
"anything","about",2
"applies","to",2
"are","less",2
"are","natural",2
"are","often",2
"as","individuals",2
"avoidance","of",2
"be","changing",2
"but","maybe",2
"but","now",2
"but","would",2
"by","political",2
"can","easily",2
"can","make",2
"can","remove",2
"change","the",2
"characteristic","of",2
"clear","from",2
"complains","about",2
"component","of",2
"concentrated","on",2
"differ","from",2
"do","this",2
"done","in",2
"dont","think",2
"elements","of",2
"experience","of",2
"extent","and",2
"far","from",2
"gain","the",2
"generally","have",2
"generated","by",2
"give","a",2
"government","and",2
"groups","of",2
"has","made",2
"ideologies","to",2
"important","for",2
"in","them",2
"into","high",2
"iq","tests",2
"is","being",2
"is","culturally",2
"is","dangerous",2
"is","just",2
"is","we",2
"it","a",2
"it","became",2
"it","if",2
"its","far",2
"jobs","for",2
"left","and",2
"less","clear",2
"less","satisfying",2
"levels","of",2
"liberal","and",2
"makes","us",2
"making","it",2
"many","things",2
"many","ways",2
"media","and",2
"men","have",2
"more","money",2
"most","fundamental",2
"much","as",2
"nature","once",2
"not","just",2
"of","both",2
"of","expression",2
"of","work",2
"often","require",2
"one","side",2
"or","take",2
"others","in",2
"out","the",2
"point","is",2
"politically","correct",2
"potential","for",2
"quite","the",2
"realize","that",2
"required","to",2
"self","reliance",2
"set","of",2
"side","of",2
"social","or",2
"society","or",2
"solve","the",2
"status","and",2
"stress","reduction",2
"suggests","that",2
"than","is",2
"the","core",2
"the","dominant",2
"the","extend",2
"the","fear",2
"the","following",2
"the","idea",2
"the","lack",2
"the","liberal",2
"the","lower",2
"the","potential",2
"these","areas",2
"they","often",2
"think","the",2
"this","has",2
"this","with",2
"to","biological",2
"to","deal",2
"to","dismiss",2
"to","exclude",2
"to","focus",2
"to","list",2
"to","new",2
"to","reach",2
"to","this",2
"to","understand",2
"to","what",2
"told","by",2
"tool","of",2
"traits","are",2
"two","differences",2
"unconscious","and",2
"values","to",2
"very","much",2
"view","of",2
"ways","in",2
"well","with",2
"which","has",2
"why","people",2
"will","inevitably",2
"women","may",2
