"w1","w2","count"
"of","the",322
"the","system",145
"in","the",130
"it","is",120
"to","the",101
"to","be",96
"for","the",85
"will","be",79
"going","to",72
"that","the",69
"by","the",64
"and","the",53
"in","a",49
"is","a",49
"as","a",47
"of","a",46
"on","the",46
"that","is",44
"we","have",44
"have","to",43
"with","the",43
"there","is",42
"they","are",41
"to","make",40
"of","our",38
"have","been",36
"to","have",34
"can","be",33
"people","who",32
"it","will",31
"are","not",30
"the","same",30
"have","a",29
"be","a",27
"is","no",27
"we","are",27
"does","not",26
"kind","of",25
"to","do",25
"that","are",24
"some","of",23
"the","people",23
"a","lot",22
"has","been",22
"into","the",22
"look","at",22
"the","most",22
"the","way",22
"this","is",22
"want","to",22
"but","the",21
"is","that",21
"many","people",21
"sense","of",21
"they","have",21
"in","our",20
"of","people",20
"the","other",20
"and","that",19
"at","least",19
"for","a",19
"those","who",19
"through","the",19
"to","get",19
"we","will",19
"will","have",19
"would","have",19
"even","if",18
"lot","of",18
"out","of",18
"to","take",18
"with","a",18
"a","new",17
"a","whole",17
"all","of",17
"is","to",17
"of","these",17
"that","we",17
"the","world",17
"they","want",17
"to","use",17
"and","we",16
"if","they",16
"people","are",16
"and","more",15
"because","the",15
"in","many",15
"one","of",15
"system","is",15
"who","are",15
"and","it",14
"at","all",14
"care","of",14
"in","this",14
"many","of",14
"of","his",14
"some","people",14
"to","give",14
"and","they",13
"and","were",13
"at","the",13
"far","more",13
"in","their",13
"more","than",13
"of","life",13
"over","the",13
"that","have",13
"the","next",13
"and","other",12
"but","they",12
"do","it",12
"part","of",12
"people","and",12
"problems","that",12
"take","care",12
"the","first",12
"the","only",12
"there","are",12
"they","would",12
"to","go",12
"we","can",12
"we","do",12
"a","few",11
"a","very",11
"able","to",11
"african","american",11
"all","the",11
"amount","of",11
"be","in",11
"have","the",11
"in","some",11
"is","more",11
"number","of",11
"that","many",11
"the","american",11
"the","whole",11
"up","to",11
"you","know",11
"against","the",10
"and","by",10
"and","for",10
"and","in",10
"as","well",10
"be","able",10
"is","so",10
"not","have",10
"of","them",10
"than","a",10
"the","old",10
"they","do",10
"they","get",10
"you","have",10
"after","the",9
"and","its",9
"do","you",9
"go","through",9
"not","a",9
"of","this",9
"result","of",9
"rid","of",9
"so","many",9
"the","united",9
"there","were",9
"these","are",9
"united","states",9
"use","it",9
"who","have",9
"within","the",9
"you","cant",9
"all","over",8
"and","a",8
"and","all",8
"and","then",8
"and","to",8
"be","the",8
"cant","get",8
"do","anything",8
"have","an",8
"if","we",8
"is","an",8
"it","the",8
"law","enforcement",8
"money","and",8
"not","in",8
"of","that",8
"reason","to",8
"small","business",8
"that","if",8
"that","this",8
"think","that",8
"to","bring",8
"to","protect",8
"under","the",8
"what","they",8
"what","we",8
"which","is",8
"a","movement",7
"a","result",7
"and","he",7
"and","if",7
"and","make",7
"and","well",7
"and","with",7
"and","you",7
"are","the",7
"be","so",7
"believe","in",7
"have","had",7
"have","never",7
"have","no",7
"have","some",7
"if","you",7
"in","america",7
"in","fact",7
"it","cant",7
"it","has",7
"know","what",7
"live","in",7
"make","them",7
"of","it",7
"people","have",7
"people","in",7
"people","of",7
"people","the",7
"the","past",7
"the","results",7
"the","second",7
"they","can",7
"to","keep",7
"to","put",7
"use","the",7
"way","that",7
"we","dont",7
"we","see",7
"well","as",7
"were","not",7
"which","we",7
"a","good",6
"a","great",6
"a","job",6
"about","it",6
"and","have",6
"and","some",6
"and","their",6
"are","going",6
"are","in",6
"be","very",6
"been","a",6
"build","a",6
"but","to",6
"for","their",6
"for","this",6
"get","rid",6
"if","it",6
"it","and",6
"it","in",6
"long","and",6
"of","all",6
"of","money",6
"one","has",6
"one","thing",6
"reason","why",6
"the","amount",6
"the","city",6
"them","in",6
"they","dont",6
"this","was",6
"to","break",6
"to","build",6
"to","fix",6
"to","stop",6
"to","work",6
"very","much",6
