"w1","w2","count"
"of","the",107
"going","to",93
"to","be",73
"in","the",71
"and","i",52
"you","know",44
"a","very",43
"to","do",43
"i","dont",42
"have","to",40
"i","think",39
"we","have",39
"for","the",37
"on","the",33
"to","the",33
"i","have",29
"at","the",27
"i","said",27
"he","was",26
"will","be",26
"you","have",26
"some","of",25
"but","i",24
"to","get",24
"want","to",24
"i","was",23
"of","our",23
"and","the",22
"be","a",22
"would","be",22
"by","the",21
"had","a",21
"is","a",21
"that","i",21
"very","very",21
"we","had",21
"i","would",19
"if","you",19
"thank","you",19
"with","the",19
"one","of",18
"to","me",18
"was","a",18
"do","you",17
"in","a",17
"it","is",17
"it","was",17
"that","was",17
"we","are",17
"a","few",16
"and","we",16
"for","a",16
"have","been",16
"a","lot",15
"a","new",15
"about","it",15
"and","a",15
"as","you",15
"that","you",15
"the","press",15
"when","i",15
"a","good",14
"about","the",14
"its","a",14
"the","most",14
"this","is",14
"to","have",14
"would","have",14
"do","with",13
"from","the",13
"have","a",13
"i","am",13
"i","will",13
"important","to",13
"its","not",13
"of","it",13
"the","other",13
"the","world",13
"a","little",12
"all","of",12
"and","then",12
"do","that",12
"during","the",12
"i","can",12
"in","this",12
"is","to",12
"it","i",12
"its","very",12
"lot","of",12
"of","time",12
"to","make",12
"with","a",12
"able","to",11
"dont","have",11
"for","me",11
"of","these",11
"out","of",11
"talk","about",11
"that","the",11
"that","we",11
"the","inner",11
"the","media",11
"very","much",11
"what","i",11
"a","great",10
"and","its",10
"and","that",10
"as","the",10
"but","its",10
"but","we",10
"has","been",10
"in","our",10
"in","your",10
"make","a",10
"many","of",10
"of","a",10
"part","of",10
"the","only",10
"the","public",10
"to","find",10
"along","with",9
"and","it",9
"because","of",9
"but","the",9
"dont","know",9
"if","we",9
"in","fact",9
"it","and",9
"of","those",9
"over","the",9
"should","be",9
"so","i",9
"that","are",9
"the","best",9
"the","same",9
"think","that",9
"to","our",9
"to","take",9
"to","you",9
"up","the",9
"were","not",9
"you","do",9
"you","the",9
"you","were",9
"as","well",8
"but","it",8
"i","hope",8
"me","to",8
"new","york",8
"of","them",8
"that","is",8
"the","first",8
"the","information",8
"the","things",8
"they","were",8
"to","say",8
"to","see",8
"to","try",8
"try","and",8
"well","i",8
"all","the",7
"as","a",7
"at","a",7
"because","they",7
"do","it",7
"have","the",7
"i","see",7
"is","that",7
"it","in",7
"it","will",7
"much","of",7
"not","a",7
"of","us",7
"of","your",7
"said","that",7
"see","it",7
"she","was",7
"so","much",7
"something","that",7
"that","he",7
"the","middle",7
"there","are",7
"there","is",7
"they","have",7
"things","that",7
"with","that",7
"you","can",7
"a","long",6
"and","by",6
"and","for",6
"be","the",6
"because","its",6
"been","a",6
"can","be",6
"dealing","with",6
"do","the",6
