"w1","w2","count"
"going","to",129
"the","president",111
"of","the",89
"to","be",59
"in","the",54
"you","know",51
"and","i",48
"a","very",45
"to","do",45
"i","dont",43
"i","think",41
"were","going",41
"we","have",40
"have","to",39
"i","have",37
"i","said",37
"to","the",33
"thank","you",32
"on","the",30
"tell","you",29
"he","was",27
"some","of",27
"a","lot",26
"by","the",26
"want","to",26
"will","be",26
"but","i",25
"for","the",25
"the","way",25
"be","a",23
"i","was",22
"and","the",21
"had","a",21
"to","get",21
"very","very",21
"we","had",21
"and","we",20
"is","a",20
"not","going",20
"our","country",20
"was","a",20
"we","are",20
"and","he",19
"do","you",19
"i","mean",19
"it","was",19
"of","our",19
"the","united",19
"we","will",19
"with","the",19
"would","be",19
"at","the",18
"i","would",18
"one","of",18
"that","was",18
"united","states",18
"you","have",18
"i","know",17
"look","at",17
"lot","of",17
"that","i",17
"american","people",16
"he","said",16
"i","do",16
"in","this",16
"a","good",15
"and","theyre",15
"as","you",15
"the","world",15
"would","have",15
"a","great",14
"a","little",14
"about","it",14
"and","they",14
"dont","think",14
"for","a",14
"have","a",14
"i","just",14
"i","want",14
"is","going",14
"people","that",14
"that","were",14
"the","american",14
"the","people",14
"a","new",13
"are","you",13
"if","you",13
"inner","cities",13
"its","a",13
"its","not",13
"so","much",13
"that","we",13
"this","is",13
"to","have",13
"very","much",13
"when","i",13
"you","look",13
"and","then",12
"and","you",12
"do","that",12
"of","it",12
"of","them",12
"so","i",12
"talking","about",12
"theyre","not",12
"to","make",12
"able","to",11
"are","going",11
"but","we",11
"can","you",11
"during","the",11
"have","been",11
"if","we",11
"know","i",11
"out","of",11
"they","dont",11
"this","country",11
"to","tell",11
"what","i",11
"all","of",10
"country","and",10
"dont","have",10
"i","am",10
"it","and",10
"it","is",10
"know","what",10
"said","i",10
"that","the",10
"thats","a",10
"the","most",10
"very","good",10
"were","not",10
"about","that",9
"along","with",9
"and","a",9
"and","if",9
"and","it",9
"and","its",9
"and","that",9
"because","i",9
"because","of",9
"do","a",9
"do","it",9
"dont","know",9
"from","the",9
"he","did",9
"i","will",9
"in","fact",9
"it","will",9
"little","bit",9
"of","a",9
"of","these",9
"to","go",9
"to","say",9
"to","work",9
"when","you",9
"white","house",9
"you","do",9
"and","were",8
"as","the",8
"but","were",8
"care","of",8
"did","you",8
"donald","trump",8
"has","been",8
"its","going",8
"let","me",8
"many","many",8
"people","and",8
"that","will",8
"thats","what",8
"the","new",8
"they","have",8
"they","say",8
"they","were",8
"to","build",8
"up","the",8
"well","i",8
"you","very",8
"a","tremendous",7
"and","by",7
"and","im",7
"and","thats",7
"as","a",7
"back","to",7
"been","a",7
"but","im",7
"but","they",7
"but","you",7
"got","to",7
"i","see",7
"im","saying",7
"it","the",7
"of","this",7
"of","those",7
"over","the",7
"said","that",7
"say","that",7
"see","it",7
"take","care",7
"that","are",7
"thats","the",7
"the","best",7
"the","white",7
"there","is",7
"they","are",7
"they","said",7
"to","take",7
"used","to",7
"was","just",7
"you","would",7
"a","big",6
"a","long",6
"advantage","of",6
"and","for",6
"and","ive",6
"be","very",6
"because","its",6
"but","the",6
"had","to",6
"have","no",6
"have","the",6
"i","heard",6
"i","hope",6
"im","a",6
"in","our",6
"in","your",6
"into","the",6
"its","been",6
"like","that",6
"long","time",6
"many","years",6
"north","korea",6
"of","people",6
"out","there",6
"part","of",6
"said","to",6
"so","you",6
"something","that",6
"supposed","to",6
"tax","reform",6
"that","is",6
"that","one",6
"the","campaign",6
"the","great",6
"the","middle",6
"the","senate",6
"them","and",6
"there","are",6
"time","and",6
"to","him",6
"to","keep",6
"to","see",6
"vice","president",6
"we","can",6
"we","dont",6
"we","got",6
"we","won",6
"whats","going",6
"with","a",6
"you","thank",6
"you","think",6
"a","couple",5
