"w1","w2","count"
"great","deal",7
"am","not",5
"let","us",5
"were","still",4
"each","person",3
"my","own",3
"only","way",3
"set","out",3
"what","will",3
"whole","host",3
"will","give",3
"will","go",3
"worth","noting",3
"after","another",2
"again","see",2
"between","them",2
"come","up",2
"could","make",2
"dont","see",2
"ever","since",2
"every","day",2
"everyone","else",2
"few","examples",2
"had","just",2
"had","more",2
"his","body",2
"his","most",2
"his","two",2
"keep","track",2
"last","year",2
"me","my",2
"me","now",2
"me","six",2
"might","add",2
"our","disposal",2
"our","mind",2
"over","our",2
"say","hello",2
"set","up",2
"single","day",2
"still","retain",2
"take","them",2
"told","me",2
"two","more",2
"us","not",2
"was","born",2
"was","not",2
"way","up",2
"were","not",2
"will","only",2
