"w1","w2","count"
"most","people",18
"will","not",14
"some","people",13
"united","states",9
"take","care",8
"were","not",8
"all","over",7
"not","only",7
"will","take",7
"years","ago",7
"more","importantly",6
"should","not",6
"let","us",5
"long","time",5
"not","fully",5
"not","going",5
"people","dont",4
"stand","up",4
"will","lead",4
"will","never",4
"any","longer",3
"dont","know",3
"dont","think",3
"dont","want",3
"even","more",3
"just","like",3
"know","them",3
"know","what",3
"north","korea",3
"once","again",3
"thats","what",3
"was","supposed",3
"why","didnt",3
"will","ever",3
"without","ever",3
"all","our",2
"all","work",2
"america","were",2
"bring","back",2
"end","up",2
"even","know",2
"ever","having",2
"free","trade",2
"get","our",2
"next","generation",2
"not","just",2
"other","countries",2
"people","like",2
"people","more",2
"schools","where",2
"some","countries",2
"system","once",2
"were","all",2
"weve","just",2
"why","did",2
