"w1","w2","count"
"hillary","clinton",18
"united","states",18
"american","people",15
"donald","trump",11
"african","american",10
"president","obama",8
"white","house",8
"classified","information",7
"executive","order",7
"trade","deals",7
"american","steel",6
"dont","talk",6
"great","people",6
"long","time",6
"good","time",5
"big","league",4
"law","enforcement",4
"pretty","good",4
"wall","street",4
"cuban","people",3
"jobs","back",3
"pacific","partnership",3
"radical","islamic",3
"trans","pacific",3
"federal","law",2
"great","great",2
"great","job",2
"greatest","people",2
"job","killing",2
"los","angeles",2
"people","give",2
"people","theyre",2
"politicians","dont",2
"record","numbers",2
"special","interests",2
"strong","military",2
"supreme","court",2
"time","im",2
