"w1","w2","count"
"united","states",18
"american","people",16
"white","house",9
"donald","trump",8
"long","time",6
"north","korea",6
"tax","reform",6
"vice","president",6
"general","kelly",5
"good","job",5
"middle","east",5
"american","steel",4
"bad","people",4
"great","people",4
"rex","tillerson",4
"youre","talking",4
"dont","mind",3
"general","mattis",3
"general","motors",3
"god","bless",3
"great","job",3
"happen","anymore",3
"replace","obamacare",3
"ronald","reagan",3
"washington","dc",3
"american","pipelines",2
"annotated","transcript",2
"dakota","access",2
"decisive","action",2
"fact","checked",2
"fiat","chrysler",2
"highlighted","statements",2
"historic","tax",2
"job","killing",2
"man","rex",2
"people","running",2
"southern","border",2
"states","military",2
"supreme","court",2
"theyll","make",2
"thing","happened",2
