"w1","w2","count"
"most","people",18
"long","term",16
"years","ago",11
"set","up",8
"make","them",7
"were","not",7
"what","kind",7
"will","happen",6
"great","deal",5
"let","us",5
"long","run",5
"new","york",5
"first","place",4
"making","them",4
"not","necessary",4
"our","lives",4
"same","thing",4
"short","term",4
"dont","know",3
"dont","want",3
"find","ways",3
"his","body",3
"just","like",3
"makes","all",3
"most","likely",3
"only","way",3
"people","generally",3
"should","take",3
"someone","else",3
"something","else",3
"what","will",3
"will","ever",3
"will","give",3
"advantages","over",2
"against","our",2
"among","some",2
"could","make",2
"course","not",2
"ever","get",2
"ever","since",2
"every","day",2
"everyone","else",2
"extended","families",2
"far","too",2
"find","themselves",2
"give","me",2
"go","out",2
"going","through",2
"good","things",2
"historical","trends",2
"makes","us",2
"not","because",2
"not","just",2
"only","goal",2
"our","ability",2
"people","only",2
"people","should",2
"solve","our",2
"thousand","years",2
"understand","something",2
"us","all",2
"walking","distance",2
"was","not",2
"way","around",2
"while","not",2
"whole","world",2
"will","see",2
"will","soon",2
"within","walking",2
"world","will",2
