"w1","w2","count"
"not","necessarily",18
"his","own",15
"will","not",15
"far","more",13
"any","other",12
"generally","speaking",10
"most","important",10
"did","not",9
"not","only",9
"great","deal",8
"let","us",8
"set","up",8
"other","hand",7
"other","words",7
"were","not",7
"his","life",6
"long","time",6
"more","important",6
"not","even",6
"not","seem",6
"reason","why",6
"will","take",6
"above","all",5
"each","other",5
"even","though",5
"fully","satisfied",5
"his","time",5
"his","way",5
"more","difficult",5
"through","his",5
"all","other",4
"almost","always",4
"any","longer",4
"anyone","else",4
"become","more",4
"devote","themselves",4
"his","personal",4
"most","part",4
"some","time",4
"will","give",4
"will","never",4
"will","still",4
"activity","since",3
"all","sorts",3
"any","further",3
"any","kind",3
"any","more",3
"because","most",3
"because","such",3
"certain","number",3
"common","sense",3
"difference","between",3
"even","more",3
"everyone","will",3
"had","never",3
"hard","pressed",3
"his","body",3
"his","mind",3
"important","part",3
"large","number",3
"most","certainly",3
"not","always",3
"not","believe",3
"not","change",3
"only","slightly",3
"real","world",3
"small","number",3
"those","days",3
"two","kinds",3
"very","long",3
"what","might",3
"will","agree",3
"will","break",3
"will","make",3
"young","man",3
"against","them",2
"all","know",2
"all","our",2
"among","themselves",2
"any","real",2
"around","them",2
"avoid","all",2
"bad","thing",2
"body","beyond",2
"care","less",2
"could","make",2
"could","not",2
"couldnt","care",2
"doesnt","matter",2
"ever","since",2
"every","day",2
"every","step",2
"everyone","else",2
"express","itself",2
"far","reaching",2
"fundamental","questions",2
"giving","up",2
"going","back",2
"had","read",2
"hardly","any",2
"his","friend",2
"his","house",2
"insignificant","part",2
"itself","will",2
"kept","busy",2
"knows","what",2
"limited","number",2
"living","under",2
"long","before",2
"make","himself",2
"make","out",2
"make","us",2
"modern","world",2
"more","like",2
"more","precisely",2
"more","serious",2
"most","interesting",2
"must","not",2
"near","future",2
"never","had",2
"not","appear",2
"not","expect",2
"not","quite",2
"not","such",2
"not","take",2
"not","whether",2
"only","after",2
"only","very",2
"only","way",2
"own","advantage",2
"principal","problems",2
"retain","only",2
"some","degree",2
"some","exceptional",2
"something","like",2
"still","more",2
"taken","over",2
"them","because",2
"them","not",2
"them","only",2
"them","rather",2
"them","simply",2
"turns","out",2
"upon","them",2
"very","difficult",2
"very","nicely",2
"vigorously","opposed",2
"was","not",2
"were","possible",2
"were","taken",2
"what","will",2
"will","allow",2
"within","him",2
"worked","out",2
