"w1","w2","count"
"many","many",8
"long","time",7
"can","say",4
"can","tell",4
"almost","always",3
"every","day",3
"gave","us",3
"never","seen",3
"one","case",3
"simple","question",3
"will","never",3
"bad","thing",2
"came","along",2
"dont","see",2
"every","country",2
"every","time",2
"go","back",2
"goes","back",2
"great","credit",2
"last","night",2
"last","week",2
"many","times",2
"may","take",2
"might","add",2
"mind","q",2
"real","problem",2
"single","day",2
"well","go",2
"will","come",2
"will","result",2
