"w1","w2","count"
"dont","know",9
"new","york",8
"many","years",6
"dont","want",5
"press","conference",5
"much","better",4
"really","good",4
"every","day",3
"give","us",3
"going","forward",3
"good","job",3
"just","like",3
"look","like",3
"think","will",3
"done","wrong",2
"dont","see",2
"dont","understand",2
"ever","get",2
"every","night",2
"every","single",2
"great","great",2
"ive","done",2
"los","angeles",2
"might","add",2
"months","later",2
"move","forward",2
"old","fashioned",2
"one","way",2
"said","give",2
"single","day",2
"well","need",2
"youre","going",2
