"w1","w2","count"
"generally","speaking",10
"one","can",9
"great","deal",8
"let","us",8
"one","another",8
"one","may",7
"long","time",6
"will","take",6
"even","though",5
"fully","satisfied",5
"almost","always",4
"anyone","else",4
"may","seem",4
"will","give",4
"will","never",4
"will","still",4
"activity","since",3
"can","occur",3
"certain","number",3
"common","sense",3
"everyone","will",3
"hard","pressed",3
"important","part",3
"large","number",3
"real","world",3
"small","number",3
"two","kinds",3
"will","agree",3
"will","break",3
"will","make",3
"young","man",3
"bad","thing",2
"body","beyond",2
"can","always",2
"can","believe",2
"can","forget",2
"can","say",2
"care","less",2
"couldnt","care",2
"doesnt","matter",2
"ever","since",2
"every","day",2
"every","step",2
"everyone","else",2
"far","reaching",2
"fundamental","questions",2
"going","back",2
"insignificant","part",2
"kept","busy",2
"limited","number",2
"make","us",2
"may","say",2
"modern","world",2
"near","future",2
"principal","problems",2
"something","like",2
"vigorously","opposed",2
"will","allow",2
