"w1","w2","count"
"united","states",18
"american","people",16
"dont","think",14
"inner","cities",13
"dont","know",9
"little","bit",9
"white","house",9
"donald","trump",8
"many","many",8
"im","saying",7
"take","care",7
"long","time",6
"many","years",6
"north","korea",6
"tax","reform",6
"vice","president",6
"whats","going",6
"dont","want",5
"general","kelly",5
"good","job",5
"middle","east",5
"one","thing",5
"president","thank",5
"american","steel",4
"bad","people",4
"dont","like",4
"great","people",4
"rex","tillerson",4
"youre","talking",4
"dont","mind",3
"eight","years",3
"gave","us",3
"general","mattis",3
"general","motors",3
"god","bless",3
"great","job",3
"happen","anymore",3
"ive","already",3
"just","like",3
"much","applause",3
"never","seen",3
"new","plant",3
"people","like",3
"replace","obamacare",3
"ronald","reagan",3
"say","im",3
"see","whats",3
"since","ronald",3
"washington","dc",3
"will","never",3
"will","tell",3
"youre","going",3
"already","begun",2
"already","starting",2
"american","pipelines",2
"annotated","transcript",2
"brief","summary",2
"dakota","access",2
"decisive","action",2
"didnt","say",2
"disaster","known",2
"fact","checked",2
"fashioned","way",2
"fiat","chrysler",2
"go","back",2
"highlighted","statements",2
"historic","tax",2
"information","please",2
"ive","done",2
"job","killing",2
"just","came",2
"just","heard",2
"just","one",2
"last","night",2
"lets","take",2
"man","rex",2
"much","longer",2
"old","fashioned",2
"people","running",2
"please","read",2
"said","wait",2
"southern","border",2
"states","military",2
"supreme","court",2
"taken","advantage",2
"thank","everybody",2
"theyll","make",2
"thing","happened",2
"weve","got",2
