"w1","w2","count"
"of","the",20
"in","the",16
"and","they",10
"for","the",10
"and","the",9
"by","the",9
"on","the",8
"to","take",7
"and","by",6
"to","the",6
"a","government",5
"air","force",5
"over","the",5
"and","their",4
"for","all",4
"one","of",4
"the","country",4
"all","the",3
"building","in",3
"more","than",3
"of","these",3
"the","time",3
"to","win",3
"across","the",2
"and","other",2
"as","a",2
"attacks","from",2
"based","on",2
"city","i",2
"decided","to",2
"fight","to",2
"it","is",2
"of","my",2
"other","nations",2
"that","the",2
"that","this",2
"that","was",2
"the","policies",2
"to","send",2
"within","that",2
"within","the",2
