"w1","w2","count"
"of","the",306
"it","is",120
"in","the",116
"to","the",101
"for","the",77
"that","the",69
"by","the",57
"as","a",47
"and","the",46
"on","the",40
"so","that",34
"to","a",33
"from","the",25
"of","these",16
"as","to",15
"one","of",13
"to","take",13
"and","other",12
"as","an",12
"more","than",12
"all","the",10
"as","the",10
"over","the",10
"within","the",9
"take","the",8
"that","this",8
"the","government",8
"the","us",8
"time","and",8
"is","clear",7
"or","other",7
"and","by",6
"and","control",6
"and","their",6
"during","the",6
"from","a",6
"a","government",5
"and","they",5
"they","were",5
"was","a",5
"but","not",4
"is","one",4
"its","own",4
"like","the",4
"such","an",4
"their","behavior",4
"a","particular",3
"against","these",3
"and","is",3
"because","such",3
"ever","more",3
"for","all",3
"of","such",3
"seeking","to",3
"than","when",3
"that","was",3
"the","point",3
"the","time",3
"to","win",3
"was","no",3
"a","counter",2
"an","argument",2
"and","purposes",2
"constituted","an",2
"government","and",2
"hitting","a",2
"hope","that",2
"iraq","or",2
"limited","to",2
"no","more",2
"not","for",2
"not","limited",2
"occurred","in",2
"of","clinical",2
"organization","and",2
"pattern","of",2
"policies","of",2
"than","what",2
"that","government",2
"the","chinese",2
"the","country",2
"the","policies",2
"the","preceding",2
"thinking","and",2
"was","not",2
"when","an",2
