"w1","w2","count"
"of","the",174
"in","the",114
"going","to",96
"to","be",90
"to","the",71
"it","is",64
"on","the",57
"and","i",55
"i","have",50
"a","very",46
"you","know",45
"to","do",44
"for","the",42
"i","dont",40
"to","me",39
"i","think",38
"i","am",37
"by","the",36
"we","have",36
"will","be",36
"i","was",34
"it","was",34
"of","a",34
"that","i",34
"have","to",33
"he","was",32
"and","the",30
"from","the",30
"is","a",30
"the","way",28
"with","the",28
"but","i",27
"i","would",27
"that","the",27
"would","be",27
"at","the",26
"is","not",26
"which","i",26
"in","a",25
"in","this",25
"is","the",25
"the","most",25
"to","make",25
"we","are",24
"be","a",23
"he","is",23
"i","do",23
"there","is",23
"want","to",23
"what","i",23
"of","it",22
"of","this",22
"the","other",22
"you","have",22
"and","he",21
"had","a",21
"i","had",21
"i","mean",21
"about","the",20
"and","that",20
"of","which",20
"we","had",20
"do","you",19
"has","been",19
"have","been",19
"me","to",19
"thank","you",19
"this","is",19
"to","get",19
"as","the",18
"for","a",18
"i","know",18
"if","i",18
"if","you",18
"in","fact",18
"they","are",18
"would","have",18
"that","he",17
"that","it",17
"was","a",17
"with","a",17
"able","to",16
"and","in",16
"as","you",16
"he","has",16
"of","our",16
"one","of",16
"the","first",16
"the","world",16
"a","good",15
"a","lot",15
"about","it",15
"and","we",15
"for","me",15
"he","will",15
"that","is",15
"that","they",15
"that","were",15
"that","you",15
"the","press",15
"are","you",14
"as","i",14
"during","the",14
"of","his",14
"of","my",14
"that","we",14
"the","only",14
"the","same",14
"there","are",14
"to","a",14
"to","you",14
"when","i",14
"which","is",14
"a","bad",13
"a","great",13
"all","the",13
"and","if",13
"and","you",13
"do","not",13
"do","with",13
"have","a",13
"it","and",13
"it","to",13
"it","would",13
"its","a",13
"number","of",13
"of","time",13
"to","have",13
"what","is",13
"a","certain",12
"a","few",12
"a","little",12
"a","new",12
"and","a",12
"is","going",12
"it","has",12
"it","i",12
"its","not",12
"lot","of",12
"may","be",12
"of","these",12
"talking","about",12
"all","of",11
"and","then",11
"are","going",11
"be","able",11
"be","the",11
"because","of",11
"but","it",11
"but","the",11
"i","could",11
"i","may",11
"in","his",11
"it","but",11
"make","a",11
"nothing","to",11
"of","them",11
"out","of",11
"part","of",11
"period","of",11
"to","say",11
"to","try",11
"very","much",11
"and","his",10
"and","it",10
"and","its",10
"as","a",10
"at","least",10
"but","we",10
"far","as",10
"i","can",10
"in","my",10
"not","a",10
"of","all",10
"so","much",10
"such","a",10
"the","public",10
"they","were",10
"to","find",10
"to","it",10
"to","tell",10
"trying","to",10
"who","is",10
"and","they",9
"are","not",9
"as","well",9
"over","the",9
"say","that",9
"should","be",9
"so","far",9
"that","in",9
"that","this",9
"the","fact",9
"up","the",9
"were","not",9
"what","he",9
"you","are",9
"and","for",8
"because","it",8
"because","they",8
"believe","that",8
"do","is",8
"from","a",8
"if","the",8
"in","its",8
"is","an",8
"is","that",8
"it","the",8
"it","they",8
