"w1","w2","count"
"of","the",30
"in","the",26
"we","have",24
"have","a",22
"will","be",20
"to","be",19
"of","our",18
"i","have",17
"and","the",16
"we","will",16
"by","the",13
"all","of",11
"you","have",11
"able","to",10
"and","we",10
"be","able",10
"for","the",10
"on","the",10
"back","to",9
"they","have",9
"out","of",8
"to","make",8
"to","the",8
"with","the",8
"be","a",7
"one","hundred",7
"to","take",7
"we","are",7
"and","all",6
"have","been",6
"millions","of",6
"that","one",6
"the","time",6
"this","is",6
"time","to",6
"and","if",5
"history","of",5
"new","york",5
"of","you",5
"see","it",5
"some","of",5
"that","i",5
"the","history",5
"we","can",5
"a","great",4
"are","not",4
"as","a",4
"come","back",4
"for","all",4
"in","a",4
"is","a",4
"many","of",4
"of","this",4
"people","who",4
"that","we",4
"the","greatest",4
"there","is",4
"this","nation",4
"a","new",3
"again","we",3
"and","every",3
"be","the",3
"come","here",3
"go","to",3
"in","america",3
"into","the",3
"is","no",3
"it","is",3
"of","all",3
"of","new",3
"of","police",3
"so","we",3
"stand","up",3
"that","the",3
"the","old",3
"the","veterans",3
"the","words",3
"there","are",3
"those","who",3
"to","our",3
"to","stand",3
"to","work",3
"today","i",3
"with","a",3
"a","bad",2
"a","beautiful",2
"again","and",2
"and","a",2
"are","those",2
"as","well",2
"at","the",2
"be","free",2
"even","though",2
"freedom","to",2
"i","say",2
"in","new",2
"is","an",2
"is","to",2
"live","in",2
"of","a",2
"of","american",2
"of","life",2
"of","poverty",2
"out","the",2
"something","that",2
"the","american",2
"the","constitution",2
"the","great",2
"the","security",2
"this","will",2
"to","go",2
"to","lift",2
"up","and",2
"up","that",2
"up","with",2
"was","to",2
"we","stand",2
"well","as",2
"who","are",2
"will","have",2
"will","rise",2
