"w1","w2","count"
"going","to",38
"of","the",28
"in","the",21
"to","be",20
"of","our",14
"to","the",13
"for","the",11
"we","have",11
"and","the",10
"and","we",10
"some","of",10
"by","the",9
"as","a",8
"if","we",8
"in","this",8
"on","the",8
"one","of",8
"so","much",8
"that","we",8
"this","is",8
"to","do",8
"the","way",7
"want","to",7
"we","can",7
"we","need",7
"i","think",6
"is","the",6
"of","this",6
"the","same",6
"to","have",6
"and","i",5
"but","we",5
"from","the",5
"have","a",5
"i","dont",5
"of","a",5
"the","right",5
"to","work",5
"we","dont",5
"what","a",5
"with","the",5
"and","to",4
"look","at",4
"many","of",4
"of","people",4
"of","these",4
"of","those",4
"people","and",4
"that","the",4
"the","most",4
"to","get",4
"to","make",4
"to","say",4
"very","much",4
"a","more",3
"able","to",3
"and","if",3
"and","it",3
"and","ive",3
"and","just",3
"and","that",3
"as","the",3
"but","i",3
"but","the",3
"dont","think",3
"for","a",3
"for","more",3
"have","the",3
"having","a",3
"how","much",3
"i","hope",3
"i","would",3
"if","its",3
"in","our",3
"its","a",3
"its","not",3
"just","as",3
"make","it",3
"part","of",3
"respect","for",3
"so","you",3
"that","are",3
"that","i",3
"that","is",3
"that","were",3
"the","benefits",3
"the","training",3
"the","white",3
"these","are",3
"to","take",3
"violence","and",3
"we","all",3
"were","doing",3
"what","the",3
"what","we",3
"with","a",3
"a","man",2
"a","national",2
"about","it",2
"achieve","a",2
"and","a",2
"and","even",2
"as","long",2
"as","part",2
"as","we",2
"back","in",2
"be","very",2
"because","of",2
"been","able",2
"being","a",2
"but","now",2
"but","that",2
"can","do",2
"do","this",2
"dont","have",2
"employees","and",2
"have","been",2
"have","them",2
"if","you",2
"in","their",2
"into","the",2
"into","these",2
"is","good",2
"is","just",2
"is","one",2
"it","in",2
"long","as",2
"lower","the",2
"many","other",2
"much","more",2
"not","just",2
"of","their",2
"of","work",2
"on","some",2
"set","of",2
"so","its",2
"soon","as",2
"stay","in",2
"that","for",2
"that","too",2
"then","the",2
"then","we",2
"they","do",2
"to","achieve",2
"to","address",2
"to","stay",2
"to","stop",2
"to","this",2
"to","thrive",2
"to","what",2
"too","much",2
"training","and",2
"would","be",2
"you","want",2
