"w1","w2","count"
"of","the",88
"in","the",52
"to","be",49
"will","be",37
"i","have",36
"we","have",35
"to","the",33
"on","the",30
"and","the",25
"some","of",25
"by","the",24
"have","a",22
"be","a",21
"you","have",21
"for","the",20
"with","the",20
"would","be",20
"able","to",18
"be","able",18
"of","our",18
"that","i",18
"we","are",18
"is","a",17
"was","a",17
"from","the",16
"at","the",15
"and","we",14
"a","bad",12
"all","of",12
"have","been",11
"have","come",11
"i","am",11
"that","the",11
"that","we",11
"to","make",11
"a","great",10
"a","new",10
"back","to",10
"but","we",10
"it","is",10
"it","would",10
"out","of",10
"the","american",10
"this","is",10
"and","a",9
"as","the",9
"no","no",9
"we","will",9
"and","if",8
"go","back",8
"in","a",8
"is","the",8
"the","time",8
"they","were",8
"see","it",7
"there","are",7
"they","have",7
"to","take",7
"to","work",7
"to","you",7
"as","a",6
"as","long",6
"as","well",6
"into","the",6
"is","not",6
"long","as",6
"new","york",6
"of","a",6
"so","we",6
"something","that",6
"that","one",6
"that","will",6
"there","is",6
"there","will",6
"time","to",6
"up","and",6
"we","can",6
"will","not",6
"with","a",6
"he","has",5
"of","all",5
"of","this",5
"on","a",5
"our","nation",5
"the","process",5
"to","go",5
"with","this",5
"and","will",4
"be","the",4
"believe","that",4
"go","to",4
"here","today",4
"i","say",4
"is","an",4
"let","it",4
"many","of",4
"sit","down",4
"to","a",4
"well","as",4
"with","you",4
"and","all",3
"and","when",3
"but","a",3
"citizens","of",3
"come","here",3
"give","us",3
"happens","when",3
"if","the",3
"instead","of",3
"is","something",3
"is","to",3
"it","came",3
"like","a",3
"my","people",3
"on","this",3
"refuse","to",3
"that","all",3
"that","some",3
"that","there",3
"the","great",3
"the","greatest",3
"the","nation",3
"the","old",3
"those","who",3
"to","believe",3
"to","my",3
"to","our",3
"today","that",3
"up","for",3
"what","will",3
"when","all",3
"who","are",3
"a","nation",2
"a","promise",2
"again","we",2
"am","not",2
"an","end",2
"and","hatred",2
"and","justice",2
"are","concerned",2
"are","not",2
"been","the",2
"but","not",2
"even","the",2
"for","many",2
"from","a",2
"given","the",2
"history","of",2
"hope","that",2
"hope","to",2
"i","go",2
"i","must",2
"i","still",2
"in","america",2
"in","his",2
"into","a",2
"is","from",2
"men","and",2
"midst","of",2
"millions","of",2
"must","say",2
"not","free",2
"nothing","for",2
"of","great",2
"of","its",2
"or","to",2
"our","nations",2
"out","the",2
"people","who",2
"process","of",2
"real","the",2
"security","of",2
"stand","up",2
"still","have",2
"straight","and",2
"the","dark",2
"the","day",2
"the","history",2
"the","midst",2
"they","will",2
"to","end",2
"to","this",2
"today","and",2
"today","to",2
"true","so",2
"where","they",2
"will","have",2
"will","you",2
"work","with",2
"wrote","the",2
