"w1","w2","count"
"going","to",66
"of","the",49
"in","the",45
"to","be",43
"we","have",28
"for","the",27
"of","our",23
"have","to",22
"thank","you",20
"a","lot",18
"and","i",17
"you","have",16
"a","few",14
"at","the",14
"lot","of",14
"and","the",13
"have","a",13
"in","a",13
"on","the",13
"and","we",12
"if","you",12
"all","of",11
"have","been",11
"i","think",11
"i","will",11
"is","to",11
"its","a",11
"to","do",11
"to","have",11
"you","know",11
"by","the",10
"do","it",10
"have","the",10
"i","have",10
"it","is",10
"many","of",10
"one","of",10
"over","the",10
"the","same",10
"this","is",10
"do","you",9
"in","our",9
"of","you",9
"out","of",9
"the","other",9
"they","are",9
"they","have",9
"to","get",9
"to","make",9
"to","our",9
"to","take",9
"will","be",9
"with","a",9
"a","new",8
"and","a",8
"be","a",8
"is","a",8
"part","of",8
"so","many",8
"that","i",8
"to","the",8
"want","to",8
"and","its",7
"but","its",7
"can","be",7
"has","been",7
"new","york",7
"of","those",7
"the","most",7
"to","me",7
"with","the",7
"about","it",6
"all","the",6
"and","by",6
"and","our",6
"but","the",6
"for","all",6
"get","the",6
"i","can",6
"if","we",6
"kind","of",6
"of","a",6
"of","them",6
"see","the",6
"that","are",6
"that","is",6
"the","first",6
"the","only",6
"the","world",6
"very","much",6
"we","are",6
"as","a",5
"be","the",5
"build","a",5
"for","a",5
"for","every",5
"for","our",5
"four","years",5
"i","dont",5
"if","they",5
"in","new",5
"in","this",5
"is","so",5
"is","that",5
"it","and",5
"it","i",5
"money","and",5
"of","these",5
"of","this",5
"see","it",5
"some","of",5
"that","to",5
"the","next",5
"the","right",5
"there","is",5
"this","year",5
"to","see",5
"we","had",5
"we","see",5
"a","good",4
"a","great",4
"a","whole",4
"and","that",4
"and","then",4
"and","weve",4
"are","in",4
"are","the",4
"as","one",4
"as","well",4
"at","your",4
"been","a",4
"child","care",4
"dont","have",4
"down","the",4
"for","you",4
"for","your",4
"had","the",4
"i","was",4
"is","no",4
"it","has",4
"it","in",4
"it","on",4
"its","not",4
"ive","been",4
"more","than",4
"of","it",4
"of","my",4
"on","our",4
"out","the",4
"so","i",4
"that","we",4
"the","city",4
"the","past",4
"them","and",4
"to","come",4
"to","win",4
"turn","out",4
"we","can",4
"we","do",4
"we","should",4
"which","is",4
"you","dont",4
"you","i",4
"you","think",4
"you","were",4
"youre","going",4
"able","to",3
"about","a",3
"against","the",3
"and","for",3
"and","it",3
"and","their",3
"and","those",3
"and","your",3
"back","to",3
"but","i",3
"didnt","work",3
"do","that",3
"dont","know",3
"every","single",3
"get","it",3
"had","a",3
"have","had",3
"i","went",3
"if","it",3
"in","every",3
"in","fact",3
"in","some",3
"in","their",3
"into","our",3
"into","the",3
"is","about",3
"is","an",3
"just","the",3
"know","we",3
"much","more",3
"not","a",3
"of","all",3
"of","that",3
"of","time",3
"out","to",3
"plus","the",3
"reason","to",3
"same","thing",3
"something","that",3
"take","your",3
"talk","about",3
"that","the",3
"that","this",3
"that","was",3
"that","when",3
"the","inner",3
"the","last",3
"the","light",3
"the","things",3
"the","time",3
"the","whole",3
"them","in",3
"there","are",3
"these","things",3
"they","did",3
"things","you",3
"this","one",3
"to","begin",3
"to","build",3
"to","keep",3
"too","many",3
"up","the",3
"up","to",3
"we","also",3
"what","are",3
"what","we",3
"when","he",3
"will","have",3
"would","have",3
"you","got",3
"you","thank",3
"you","that",3
"a","beautiful",2
"a","big",2
"a","very",2
"across","the",2
"agreed","to",2
"am","i",2
"and","have",2
"and","make",2
"and","many",2
"and","more",2
"and","to",2
"and","youre",2
"are","just",2
"are","those",2
"as","much",2
"at","least",2
"at","that",2
"at","this",2
"because","its",2
"become","a",2
"but","our",2
"but","to",2
"but","well",2
"by","and",2
"by","our",2
"come","up",2
"comes","from",2
"day","and",2
"day","in",2
"deal","and",2
"different","you",2
"do","the",2
"does","not",2
"doesnt","have",2
"doing","it",2
"down","and",2
"even","if",2
"every","day",2
"few","of",2
"filled","with",2
"for","this",2
"from","all",2
"future","and",2
"gave","me",2
"get","thats",2
"give","me",2
"great","great",2
"hands","will",2
"hard","for",2
"here","and",2
"hes","right",2
"him","and",2
"how","many",2
"i","told",2
"in","china",2
"in","those",2
"it","a",2
"it","out",2
"it","will",2
"it","you",2
"job","we",2
"league","and",2
"los","angeles",2
"make","them",2
"me","all",2
"me","and",2
"me","that",2
"much","better",2
"not","have",2
"now","and",2
"now","that",2
"now","with",2
"of","mine",2
"old","fashioned",2
"on","my",2
"one","has",2
"one","way",2
"opponents","and",2
"our","most",2
"out","a",2
"out","for",2
"outside","of",2
"over","our",2
"people","of",2
"right","and",2
"said","to",2
"see","her",2
"shot","in",2
"so","he",2
"so","much",2
"so","we",2
"something","we",2
"take","it",2
"that","if",2
"that","many",2
"that","means",2
"thats","not",2
"the","great",2
"the","hospital",2
"the","job",2
"the","reason",2
"the","second",2
"the","street",2
"the","top",2
"them","one",2
"they","can",2
"they","would",2
"think","of",2
"think","that",2
"this","and",2
"this","journey",2
"this","was",2
"time","in",2
"to","all",2
"to","ask",2
"to","choose",2
"to","compete",2
"to","give",2
"to","new",2
"to","work",2
"told","me",2
"turned","out",2
"up","with",2
"us","all",2
"us","down",2
"used","to",2
"very","very",2
"walk","down",2
"wants","to",2
"way","is",2
"way","that",2
"we","dont",2
"we","now",2
"we","talk",2
"we","want",2
"well","as",2
"well","in",2
"were","not",2
"what","i",2
"what","our",2
"what","the",2
"what","would",2
"whats","happening",2
"when","they",2
"which","we",2
"who","have",2
"who","will",2
"win","the",2
"winning","in",2
"within","the",2
"work","but",2
"working","together",2
"worse","the",2
"yearning","for",2
"years","and",2
"yes","but",2
"you","and",2
"you","as",2
"you","cant",2
"you","get",2
"you","need",2
"you","so",2
"you","too",2
"youre","not",2
