"w1","w2","count"
"of","the",111
"in","the",86
"it","is",58
"to","be",55
"to","the",48
"going","to",41
"i","have",33
"of","a",33
"on","the",33
"for","the",29
"i","am",29
"is","the",26
"by","the",24
"from","the",23
"in","this",23
"there","is",22
"it","was",21
"of","this",21
"of","which",20
"thank","you",19
"that","i",19
"that","the",19
"they","are",19
"to","make",19
"is","a",18
"this","is",18
"will","be",18
"and","the",17
"has","been",17
"the","most",17
"with","the",17
"at","the",16
"have","to",16
"i","was",16
"and","i",15
"as","i",15
"the","way",15
"as","the",14
"more","than",14
"of","his",14
"the","first",14
"we","have",14
"what","i",14
"a","great",13
"a","lot",13
"and","that",13
"i","would",13
"that","is",13
"to","do",13
"with","a",13
"all","the",12
"of","it",12
"one","of",12
"we","are",12
"as","a",11
"in","fact",11
"of","our",11
"so","much",11
"the","same",11
"have","been",10
"over","the",10
"there","are",10
"to","have",10
"would","be",10
"you","know",10
"and","we",9
"are","not",9
"be","the",9
"he","was",9
"i","do",9
"of","them",9
"part","of",9
"so","far",9
"that","we",9
"the","world",9
"would","have",9
"and","if",8
"back","to",8
"in","my",8
"is","no",8
"one","is",8
"that","one",8
"to","go",8
"to","say",8
"a","big",7
"a","new",7
"a","very",7
"able","to",7
"and","they",7
"are","the",7
"believe","that",7
"but","the",7
"if","you",7
"it","and",7
"it","the",7
"lot","of",7
"of","all",7
"of","any",7
"to","all",7
"want","to",7
"a","good",6
"a","man",6
"and","this",6
"be","a",6
"but","i",6
"do","you",6
"for","a",6
"i","like",6
"i","mean",6
"is","an",6
"is","going",6
"is","he",6
"is","in",6
"me","in",6
"more","and",6
"out","of",6
"so","i",6
"the","best",6
"the","great",6
"the","man",6
"them","and",6
"theyre","going",6
"to","him",6
"to","keep",6
"what","we",6
"would","not",6
"you","have",6
"and","a",5
"and","it",5
"and","its",5
"and","to",5
"any","longer",5
"as","you",5
"could","be",5
"during","the",5
"for","these",5
"have","a",5
"i","did",5
"i","dont",5
"i","think",5
"let","us",5
"much","more",5
"of","their",5
"of","these",5
"one","has",5
"our","great",5
