"w1","w2","count"
"going","to",102
"were","going",50
"thank","you",33
"of","the",31
"a","lot",29
"to","be",29
"we","have",29
"in","the",28
"we","will",26
"look","at",22
"have","to",21
"you","look",20
"lot","of",19
"of","our",19
"i","have",18
"our","country",18
"you","know",18
"and","we",16
"and","they",15
"by","the",15
"for","the",15
"tell","you",15
"have","a",14
"the","way",14
"and","i",13
"and","were",13
"i","think",13
"to","do",13
"and","the",12
"do","it",12
"they","are",12
"do","you",11
"the","people",11
"care","of",10
"its","a",10
"of","them",10
"on","the",10
"one","of",10
"take","care",10
"the","united",10
"they","have",10
"to","have",10
"united","states",10
"want","to",10
"all","of",9
"all","over",9
"be","a",9
"have","the",9
"in","this",9
"its","going",9
"more","than",9
"out","of",9
"this","is",9
"to","make",9
"we","are",9
"will","be",9
"a","great",8
"if","we",8
"over","the",8
"people","and",8
"so","much",8
"the","world",8
"to","the",8
"very","much",8
"you","have",8
"american","people",7
"and","by",7
"and","theyre",7
"i","will",7
"inner","cities",7
"is","a",7
"it","the",7
"so","i",7
"some","of",7
"they","dont",7
"to","take",7
"where","is",7
"with","the",7
"a","big",6
"a","new",6
"a","tremendous",6
"and","if",6
"and","its",6
"and","you",6
"are","going",6
"back","to",6
"but","were",6
"for","our",6
"have","been",6
"have","so",6
"i","dont",6
"if","they",6
"if","you",6
"it","and",6
"jobs","and",6
"know","what",6
"millions","of",6
"not","going",6
"of","american",6
"of","this",6
"that","one",6
"that","we",6
"the","american",6
"the","next",6
"the","same",6
"to","build",6
"to","get",6
"to","go",6
"well","do",6
"you","think",6
"you","very",6
"a","disaster",5
"a","good",5
"about","it",5
"and","im",5
"as","a",5
"at","the",5
"been","a",5
"come","here",5
"country","and",5
"didnt","do",5
"donald","trump",5
"get","the",5
"has","been",5
"i","just",5
"i","know",5
"in","america",5
"in","our",5
"is","going",5
"is","so",5
"it","we",5
"its","been",5
"its","the",5
"many","of",5
"never","seen",5
"of","a",5
"of","those",5
"people","dont",5
"rid","of",5
"see","it",5
"the","great",5
"the","republican",5
"the","right",5
"them","and",5
"there","is",5
"this","country",5
"to","bring",5
"to","put",5
"to","tell",5
"to","work",5
"we","can",5
"we","had",5
"were","doing",5
"what","a",5
"work","out",5
"you","see",5
"you","thank",5
"youre","going",5
"a","movement",4
"a","very",4
"about","that",4
"all","the",4
"american","steel",4
"and","then",4
"are","not",4
"build","a",4
"but","i",4
"but","you",4
"country","its",4
"going","on",4
"got","to",4
"great","people",4
"i","mean",4
"in","my",4
"is","no",4
"it","will",4
"its","not",4
"look","what",4
"of","dollars",4
"of","people",4
"oh","boy",4
"part","of",4
"stand","up",4
"than","ever",4
"that","are",4
"that","i",4
"that","is",4
"that","was",4
"the","border",4
"the","deal",4
"the","old",4
"the","president",4
"these","are",4
"they","say",4
"to","come",4
"to","deliver",4
"to","lose",4
"to","win",4
"we","love",4
"would","have",4
"you","got",4
"you","great",4
"able","to",3
"and","for",3
"and","it",3
"and","ive",3
"and","many",3
"and","new",3
"and","replace",3
"and","that",3
"and","to",3
"and","weve",3
"and","yet",3
"are","in",3
"are","the",3
"at","all",3
"at","home",3
"be","the",3
"be","very",3
"believe","me",3
"but","that",3
"but","the",3
"do","that",3
"dont","have",3
"dont","know",3
"dont","like",3
"for","a",3
"go","to",3
"great","job",3
"had","a",3
"has","never",3
"have","it",3
"have","no",3
"here","in",3
"i","called",3
"i","want",3
"i","was",3
"in","fact",3
"into","our",3
"into","the",3
"it","is",3
"know","i",3
"know","they",3
"know","where",3
"like","it",3
"love","it",3
"many","people",3
"me","a",3
"me","the",3
"military","we",3
"much","thank",3
"no","limit",3
"of","all",3
"of","it",3
"of","jobs",3
"of","these",3
"of","you",3
"our","businesses",3
"people","that",3
"percent","and",3
"president","of",3
"repeal","and",3
"right","here",3
"right","i",3
"right","we",3
"said","to",3
"say","we",3
"see","the",3
"some","people",3
"tell","me",3
"than","a",3
"thats","the",3
"the","most",3
"the","time",3
"the","white",3
"they","used",3
"theyre","all",3
"theyre","not",3
"this","nation",3
"to","keep",3
"to","see",3
"to","stand",3
"to","terminate",3
"up","in",3
"used","to",3
"we","do",3
"we","dont",3
"we","stand",3
"were","not",3
"what","the",3
"what","they",3
"what","we",3
"when","he",3
"where","are",3
"white","house",3
"who","have",3
"will","build",3
"will","do",3
"will","have",3
"will","tell",3
"with","a",3
"wonder","why",3
"years","and",3
"you","dont",3
"you","i",3
"you","if",3
"you","so",3
"youll","be",3
"a","century",2
"a","hell",2
"a","job",2
"a","strong",2
"across","the",2
"actually","i",2
"again","and",2
"all","across",2
"all","they",2
"american","employees",2
"american","youth",2
"and","a",2
"and","every",2
"and","he",2
"and","really",2
"and","thats",2
"and","these",2
"and","yes",2
"are","many",2
"are","you",2
"around","with",2
"back","jobs",2
"because","i",2
"because","its",2
"because","ive",2
"because","the",2
"been","in",2
"begins","with",2
"billions","of",2
"bring","back",2
"build","that",2
"business","tax",2
"but","they",2
"by","hillary",2
"child","is",2
"come","out",2
"compete","with",2
"congress","to",2
"countries","that",2
"country","we",2
"deal","because",2
"decided","to",2
"doing","it",2
"doing","well",2
"employees","and",2
"fashioned","way",2
"filled","with",2
"for","you",2
"for","your",2
"gave","me",2
"get","a",2
"good","poll",2
"have","all",2
"have","had",2
"have","some",2
"have","them",2
"hell","of",2
"here","but",2
"here","come",2
"how","many",2
"i","also",2
"i","did",2
"i","do",2
"i","put",2
"i","really",2
"i","say",2
"in","poverty",2
"in","their",2
"in","washington",2
"incredible","but",2
"is","an",2
"it","in",2
"it","just",2
"it","you",2
"its","time",2
"job","killing",2
"just","one",2
"killing","regulations",2
"know","it",2
"known","as",2
"land","and",2
"let","me",2
"like","you",2
"limit","to",2
"long","time",2
"many","many",2
"mean","look",2
"mean","we",2
"movement","like",2
"much","more",2
"not","my",2
"now","its",2
"now","theyre",2
"of","his",2
"old","days",2
"old","fashioned",2
"on","my",2
"one","has",2
"one","thing",2
"our","military",2
"our","taxes",2
"our","veterans",2
"out","to",2
"people","but",2
"people","its",2
"people","like",2
"people","of",2
"people","we",2
"people","would",2
"percent","to",2
"prosperity","and",2
"prosperity","at",2
"right","they",2
"role","in",2
"see","whats",2
"seen","before",2
"something","that",2
"states","the",2
"stronger","than",2
"supreme","court",2
"talk","all",2
"talking","about",2
"telling","you",2
"terminate","the",2
"that","the",2
"thats","not",2
"the","constitution",2
"the","disaster",2
"the","first",2
"the","job",2
"the","last",2
"the","second",2
"the","sky",2
"the","system",2
"them","in",2
"then","there",2
"then","you",2
"there","are",2
"there","i",2
"there","they",2
"these","things",2
"they","do",2
"they","know",2
"they","would",2
"theyre","doing",2
"theyve","been",2
"think","hillary",2
"think","of",2
"this","and",2
"this","one",2
"this","will",2
"time","to",2
"to","all",2
"to","compete",2
"to","lower",2
"to","save",2
"to","stop",2
"turned","out",2
"up","here",2
"up","the",2
"very","big",2
"very","very",2
"was","one",2
"way","the",2
"way","we",2
"we","got",2
"were","also",2
"what","i",2
"whats","going",2
"whats","happening",2
"who","will",2
"will","never",2
"will","rise",2
"work","but",2
"yes","we",2
"you","and",2
"you","believe",2
"you","would",2
