"w1","w2","count"
"of","the",116
"in","the",88
"going","to",69
"to","be",60
"it","is",57
"to","the",46
"on","the",37
"for","the",32
"i","have",31
"of","a",30
"to","me",28
"by","the",25
"we","have",25
"they","are",23
"does","not",22
"to","make",22
"and","the",21
"in","a",21
"of","this",21
"that","i",21
"there","is",21
"and","i",20
"thank","you",20
"that","the",19
"will","be",19
"a","lot",18
"in","this",18
"the","most",18
"the","other",18
"is","a",17
"the","way",17
"has","been",16
"of","our",16
"with","the",16
"have","to",15
"i","was",15
"the","same",15
"this","is",15
"and","that",14
"have","been",14
"lot","of",14
"of","his",14
"the","first",14
"what","i",14
"with","a",14
"and","in",13
"at","the",13
"have","a",13
"number","of",13
"of","it",13
"so","many",13
"that","is",13
"we","are",13
"all","the",12
"in","fact",12
"of","my",12
"to","do",12
"which","is",12
"you","have",12
"you","know",12
"a","certain",11
"and","we",11
"are","not",11
"do","you",11
"if","you",11
"it","has",11
"which","we",11
"a","few",10
"all","of",10
"and","if",10
"and","they",10
"be","the",10
"i","think",10
"in","my",10
"its","a",10
"over","the",10
"the","only",10
"there","are",10
"they","have",10
"to","have",10
"be","a",9
"have","the",9
"i","do",9
"it","and",9
"more","than",9
"of","them",9
"out","of",9
"part","of",9
"that","this",9
"the","world",9
"able","to",8
"as","a",8
"at","least",8
"but","the",8
"can","be",8
"in","its",8
"is","no",8
"it","the",8
"me","that",8
"of","all",8
"one","of",8
"only","the",8
"to","take",8
"under","the",8
"a","great",7
"and","all",7
"and","by",7
"and","its",7
"and","more",7
"and","you",7
"for","a",7
"i","believe",7
"kind","of",7
"that","we",7
"to","all",7
"up","to",7
"want","to",7
"would","have",7
"a","whole",6
"about","it",6
"are","going",6
"are","the",6
"back","to",6
"believe","in",6
"but","i",6
"do","is",6
"for","all",6
"have","never",6
"i","know",6
"i","mean",6
"if","it",6
"is","an",6
"is","that",6
"it","but",6
"not","a",6
"of","that",6
"of","these",6
"people","are",6
"those","who",6
"to","bring",6
"to","sleep",6
"very","much",6
"when","he",6
"which","will",6
"a","good",5
"a","new",5
"a","very",5
"above","all",5
"and","a",5
"and","for",5
"and","there",5
"as","much",5
"as","well",5
"at","this",5
"come","back",5
"get","the",5
"him","the",5
"i","did",5
"if","they",5
"in","our",5
"in","some",5
"is","so",5
"is","to",5
"it","i",5
"it","we",5
"it","were",5
"like","it",5
"me","i",5
"money","and",5
"much","more",5
"never","seen",5
"not","have",5
"of","life",5
"one","has",5
"out","to",5
"so","much",5
"the","next",5
"the","right",5
"them","and",5
"they","had",5
"to","come",5
"to","keep",5
"to","use",5
"we","see",5
"what","we",5
"who","in",5
"will","make",5
"with","it",5
"a","wall",4
"against","the",4
"am","i",4
"and","he",4
"and","it",4
"and","their",4
"and","to",4
"at","home",4
"be","so",4
"been","a",4
"for","this",4
"have","had",4
"have","no",4
"i","can",4
"in","these",4
"into","the",4
"is","more",4
"it","in",4
"it","with",4
"long","and",4
"me","a",4
"me","and",4
"me","the",4
"me","with",4
"my","opinion",4
"not","in",4
"of","money",4
"of","time",4
"than","a",4
"that","are",4
"that","one",4
"the","greatest",4
"the","last",4
"the","past",4
"the","time",4
"the","words",4
"them","in",4
"think","of",4
"time","in",4
"to","get",4
"to","give",4
"to","go",4
"to","our",4
"to","put",4
"to","tell",4
"up","with",4
"used","to",4
"was","to",4
"we","do",4
"we","get",4
"we","had",4
"where","is",4
"will","follow",4
"you","thank",4
"a","bad",3
"a","big",3
"a","single",3
"about","a",3
"all","sorts",3
"and","many",3
"and","some",3
"and","then",3
"and","yet",3
"are","you",3
"at","that",3
"be","able",3
"before","i",3
"before","the",3
"but","its",3
"but","what",3
"by","far",3
"crime","and",3
"day","i",3
"first","day",3
"for","their",3
"go","and",3
"going","on",3
"had","a",3
"have","done",3
"here","and",3
"here","in",3
"him","and",3
"him","up",3
"i","called",3
"i","dont",3
"i","tell",3
"i","went",3
"in","every",3
"in","their",3
"in","those",3
"is","going",3
"it","a",3
"its","not",3
"know","they",3
"long","time",3
"not","even",3
"nothing","but",3
"of","those",3
"on","my",3
"reason","to",3
"result","of",3
"right","i",3
"she","is",3
"so","i",3
"so","strong",3
"tell","me",3
"that","every",3
"that","to",3
"the","great",3
"the","plane",3
"the","street",3
"the","whole",3
"the","worst",3
"there","to",3
"there","were",3
"through","the",3
"time","to",3
"to","greet",3
"to","lose",3
"to","pay",3
"to","provide",3
"to","turn",3
"to","win",3
"up","in",3
"up","the",3
"very","long",3
"we","can",3
"went","to",3
"what","happens",3
"what","the",3
"where","i",3
"who","are",3
"who","have",3
"will","come",3
"will","have",3
"within","the",3
"word","and",3
"you","about",3
"you","if",3
"a","beautiful",2
"a","first",2
"a","place",2
"a","strong",2
"across","the",2
"advertising","i",2
"after","the",2
"age","of",2
"agree","with",2
"agreed","to",2
"all","all",2
"all","these",2
"all","we",2
"also","on",2
"amount","of",2
"and","everyone",2
"and","have",2
"and","other",2
"and","who",2
"are","being",2
"are","in",2
"are","just",2
"are","many",2
"are","those",2
"based","on",2
"be","as",2
"before","we",2
"break","the",2
"but","to",2
"by","and",2
"by","our",2
"by","this",2
"call","it",2
"certain","state",2
"come","up",2
"concerned","with",2
"day","and",2
"decided","to",2
"do","these",2
"down","to",2
"even","a",2
"even","in",2
"even","though",2
"every","day",2
"every","last",2
"every","time",2
"far","more",2
"few","of",2
"five","years",2
"for","your",2
"from","all",2
"get","a",2
"had","the",2
"happens","to",2
"have","just",2
"him","a",2
"i","call",2
"i","say",2
"if","things",2
"in","many",2
"in","particular",2
"it","doesnt",2
"it","very",2
"it","will",2
"it","you",2
"its","being",2
"its","time",2
"itself","and",2
"know","in",2
"last","week",2
"less","and",2
"let","me",2
"long","before",2
"many","many",2
"most","part",2
"never","been",2
"never","had",2
"now","and",2
"of","every",2
"of","mine",2
"on","they",2
"once","more",2
"one","so",2
"or","three",2
"order","of",2
"out","a",2
"out","for",2
"outside","of",2
"over","again",2
"over","our",2
"paris","the",2
"past","and",2
"put","it",2
"put","on",2
"reach","of",2
"reason","why",2
"received","a",2
"refused","to",2
"rich","and",2
"role","in",2
"same","reason",2
"say","it",2
"six","months",2
"so","to",2
"something","that",2
"sorts","of",2
"still","in",2
"sure","that",2
"surprised","me",2
"system","is",2
"talking","about",2
"terms","of",2
"that","as",2
"that","future",2
"that","trouble",2
"that","when",2
"the","age",2
"the","largest",2
"the","light",2
"the","reach",2
"the","sky",2
"the","supreme",2
"the","things",2
"the","top",2
"the","water",2
"them","a",2
"them","we",2
"there","i",2
"these","people",2
"they","come",2
"they","did",2
"they","do",2
"they","like",2
"thing","that",2
"this","one",2
"this","will",2
"time","i",2
"to","ask",2
"to","choose",2
"to","embrace",2
"to","lift",2
"to","pull",2
"to","stop",2
"to","work",2
"today","i",2
"told","me",2
"top","of",2
"two","or",2
"unable","to",2
"up","and",2
"us","they",2
"very","simple",2
"wants","to",2
"way","i",2
"we","dont",2
"we","got",2
"well","and",2
"well","as",2
"well","go",2
"were","done",2
"were","not",2
"were","on",2
"what","if",2
"what","they",2
"what","theyre",2
"what","youre",2
"will","never",2
"with","all",2
"with","great",2
"with","these",2
"word","they",2
"world","everything",2
"years","and",2
"you","and",2
"you","as",2
"you","need",2
"you","so",2
