"w1","w2","count"
"of","the",317
"the","system",145
"in","the",128
"it","is",121
"to","the",103
"to","be",91
"for","the",82
"will","be",78
"that","the",69
"by","the",63
"would","be",52
"as","a",50
"is","a",50
"and","the",49
"of","a",49
"going","to",44
"have","to",44
"that","is",44
"with","the",44
"there","is",43
"on","the",42
"they","are",37
"to","make",37
"to","have",34
"it","will",33
"of","our",33
"we","have",33
"have","been",32
"are","not",28
"is","no",27
"some","of",26
"the","same",26
"to","do",26
"we","are",26
"from","the",25
"is","the",25
"this","is",25
"we","will",25
"be","a",24
"that","are",24
"has","been",23
"want","to",22
"have","a",21
"into","the",21
"of","their",21
"the","most",21
"would","have",21
"a","long",20
"but","the",20
"many","people",20
"of","people",20
"the","people",20
"the","way",20
"will","have",20
"a","new",19
"in","our",19
"in","this",19
"one","of",19
"that","we",19
"to","get",19
"and","that",18
"for","a",18
"more","than",18
"most","people",18
"a","lot",17
"the","world",17
"with","a",17
"and","so",16
"at","the",16
"of","these",16
"technology","and",16
"to","go",16
"would","not",16
"and","it",15
"because","the",15
"but","we",15
"could","be",15
"is","in",15
"out","of",15
"the","american",15
"they","have",15
"and","we",14
"but","in",14
"if","they",14
"of","his",14
"will","not",14
"a","very",13
"as","we",13
"at","all",13
"in","their",13
"many","of",13
"of","any",13
"over","the",13
"some","people",13
"the","next",13
"to","take",13
"we","can",13
"a","great",12
"as","an",12
"because","of",12
"but","they",12
"part","of",12
"the","first",12
"the","new",12
"there","are",12
"they","would",12
"all","the",11
"as","the",11
"had","to",11
"lot","of",11
"more","and",11
"no","one",11
"than","a",11
"to","say",11
"we","do",11
"able","to",10
"all","of",10
"and","they",10
"care","of",10
"of","them",10
"the","old",10
"they","do",10
"to","build",10
"who","have",10
"a","movement",9
"and","as",9
"and","for",9
"and","to",9
"it","was",9
"long","as",9
"of","this",9
"so","much",9
"that","one",9
"that","their",9
"the","united",9
"these","are",9
"they","dont",9
"to","them",9
"to","work",9
"united","states",9
"what","they",9
"what","we",9
"you","know",9
"a","more",8
"and","a",8
"and","then",8
"are","the",8
"as","long",8
"at","a",8
"if","we",8
"in","america",8
"is","an",8
"people","and",8
"rid","of",8
"take","care",8
"time","and",8
"to","keep",8
"to","put",8
"to","that",8
"was","a",8
"we","dont",8
"were","not",8
"a","good",7
"all","over",7
"and","by",7
"and","he",7
"and","its",7
"and","this",7
"are","in",7
"be","the",7
"can","do",7
"for","many",7
"have","had",7
"have","some",7
"is","so",7
"it","the",7
"many","other",7
"not","only",7
"of","american",7
"of","which",7
"people","of",7
"sort","of",7
"that","were",7
"the","second",7
"they","hate",7
"too","much",7
"will","take",7
"years","ago",7
"you","think",7
"a","job",6
"and","many",6
"do","it",6
"during","the",6
"for","our",6
"had","a",6
"have","no",6
"he","knew",6
"how","much",6
"in","fact",6
"is","going",6
"it","in",6
"just","as",6
"look","at",6
"made","in",6
"make","it",6
"make","the",6
"more","importantly",6
"of","it",6
"of","those",6
"one","has",6
"one","thing",6
"say","that",6
"should","not",6
"that","will",6
"them","in",6
"then","the",6
"to","stop",6
"today","in",6
"used","to",6
"a","couple",5
"a","little",5
"a","man",5
"a","strong",5
"and","if",5
"be","very",5
"been","a",5
"believe","that",5
"change","and",5
"couple","of",5
"do","what",5
"having","a",5
"its","not",5
"let","us",5
"like","a",5
"long","time",5
"man","who",5
"not","fully",5
"not","going",5
"of","all",5
"of","whom",5
"people","would",5
"reform","the",5
"than","ever",5
"that","for",5
"that","was",5
"the","state",5
"the","word",5
"them","and",5
"then","there",5
"there","was",5
"these","things",5
"they","must",5
"they","say",5
"they","were",5
"this","will",5
"to","bring",5
"to","see",5
"way","the",5
"we","must",5
"who","will",5
"a","free",4
"a","political",4
"along","the",4
"along","with",4
"are","many",4
"as","part",4
"be","brought",4
"because","we",4
"build","a",4
"but","as",4
"but","that",4
"constitution","of",4
"development","and",4
"do","you",4
"from","now",4
"get","a",4
"given","the",4
"go","to",4
"had","no",4
"have","all",4
"have","the",4
"is","good",4
"is","one",4
"it","and",4
"it","must",4
"like","the",4
"not","so",4
"on","and",4
"on","to",4
"one","is",4
"one","that",4
"people","dont",4
"people","we",4
"so","far",4
"so","if",4
"stand","up",4
"supposed","to",4
"the","best",4
"the","white",4
"this","country",4
"to","these",4
"to","win",4
"very","much",4
"way","for",4
"we","had",4
"we","like",4
"what","it",4
"what","the",4
"which","there",4
"will","do",4
"will","lead",4
"will","never",4
"work","and",4
"work","to",4
"you","have",4
"a","child",3
"about","it",3
"action","is",3
"advantage","of",3
"and","even",3
"and","you",3
"any","longer",3
"back","in",3
"be","working",3
"been","able",3
"been","very",3
"better","and",3
"by","making",3
"compete","with",3
"dont","have",3
"dont","know",3
"dont","think",3
"dont","want",3
"even","more",3
"faith","in",3
"first","and",3
"for","another",3
"for","you",3
"have","gotten",3
"have","it",3
"have","them",3
"he","had",3
"he","was",3
"helping","to",3
"hesitate","to",3
"i","asked",3
"if","you",3
"into","our",3
"is","doing",3
"is","possible",3
"it","impossible",3
"job","and",3
"just","like",3
"just","one",3
"know","how",3
"know","that",3
"know","them",3
"know","what",3
"like","that",3
"much","more",3
"no","choice",3
"no","such",3
"north","korea",3
"not","been",3
"on","this",3
"once","again",3
"or","whatever",3
"people","but",3
"people","this",3
"regulations","and",3
"role","in",3
"said","to",3
"see","the",3
"something","that",3
"soon","as",3
"stronger","than",3
"system","that",3
"take","an",3
"that","includes",3
"that","its",3
"that","our",3
"thats","what",3
"the","last",3
"the","right",3
"the","time",3
"the","work",3
"them","that",3
"think","of",3
"time","for",3
"to","happen",3
"to","him",3
"to","his",3
"to","pass",3
"to","tell",3
"up","a",3
"up","the",3
"us","as",3
"was","supposed",3
"we","all",3
"when","he",3
"who","can",3
"why","didnt",3
"will","ever",3
"with","and",3
"without","ever",3
"work","but",3
"work","the",3
"world","to",3
"yes","we",3
"a","century",2
"a","disaster",2
"a","fair",2
"a","future",2
"a","mess",2
"a","nation",2
"a","similar",2
"achieve","a",2
"again","and",2
"again","in",2
"all","on",2
"all","our",2
"all","work",2
"also","is",2
"america","were",2
"and","compete",2
"and","free",2
"and","im",2
"and","one",2
"and","were",2
"are","going",2
"be","built",2
"be","fully",2
"because","its",2
"been","introduced",2
"bring","back",2
"but","now",2
"called","the",2
"child","is",2
"complain","about",2
"countries","that",2
"country","we",2
"criminals","and",2
"decades","and",2
"did","they",2
"difference","we",2
"do","some",2
"do","this",2
"does","know",2
"doing","it",2
"doing","that",2
"done","a",2
"done","and",2
"easier","for",2
"end","up",2
"even","know",2
"ever","having",2
"for","more",2
"free","trade",2
"from","one",2
"from","violence",2
"from","what",2
"generation","of",2
"get","our",2
"get","the",2
"good","of",2
"has","never",2
"have","also",2
