"w1","w2","count"
"going","to",157
"the","president",109
"of","the",94
"to","be",64
"were","going",63
"in","the",56
"and","i",53
"you","know",53
"we","have",51
"i","think",46
"to","do",44
"a","very",43
"i","dont",41
"have","to",38
"tell","you",38
"i","have",35
"on","the",34
"look","at",33
"thank","you",33
"a","lot",31
"to","the",31
"for","the",28
"by","the",27
"the","way",27
"will","be",27
"be","a",26
"want","to",26
"and","the",25
"but","i",25
"you","look",25
"do","you",24
"lot","of",24
"of","our",24
"our","country",24
"some","of",24
"you","have",24
"and","we",22
"have","a",22
"i","was",21
"its","a",21
"to","get",21
"very","very",21
"we","are",21
"had","a",20
"i","know",20
"we","had",20
"and","he",19
"and","were",19
"i","mean",19
"is","a",19
"that","i",19
"the","united",19
"hillary","clinton",18
"inner","cities",18
"not","going",18
"united","states",18
"with","the",18
"about","it",17
"all","of",17
"and","they",17
"if","you",17
"the","people",17
"to","me",17
"and","you",16
"i","do",16
"im","going",16
"that","was",16
"the","other",16
"american","people",15
"are","going",15
"at","the",15
"do","it",15
"for","a",15
"have","been",15
"i","just",15
"it","i",15
"people","that",15
"the","world",15
"to","make",15
"very","much",15
"a","good",14
"i","will",14
"know","what",14
"one","of",14
"out","of",14
"the","election",14
"they","have",14
"are","you",13
"have","the",13
"i","want",13
"its","not",13
"of","it",13
"to","have",13
"we","will",13
"would","have",13
"a","bad",12
"able","to",12
"and","then",12
"and","theyre",12
"be","able",12
"care","of",12
"it","and",12
"of","them",12
"people","and",12
"talk","about",12
"talking","about",12
"the","inner",12
"this","country",12
"to","take",12
"to","tell",12
"a","new",11
"and","if",11
"and","its",11
"country","and",11
"do","that",11
"donald","trump",11
"dont","have",11
"i","didnt",11
"if","we",11
"in","this",11
"is","going",11
"it","but",11
"of","time",11
"right","now",11
"take","care",11
"that","we",11
"the","country",11
"the","most",11
"they","are",11
"theyre","not",11
"what","i",11
"african","american",10
"and","by",10
"and","im",10
"and","that",10
"cant","get",10
"dont","know",10
"i","love",10
"in","fact",10
"know","i",10
"of","these",10
"people","are",10
"see","it",10
"that","and",10
"that","the",10
"the","american",10
"this","is",10
"a","tremendous",9
"about","that",9
"and","a",9
"because","i",9
"do","anything",9
"it","is",9
"just","a",9
"so","i",9
"the","same",9
"think","that",9
"were","not",9
"you","what",9
"a","great",8
"and","it",8
"and","well",8
"been","a",8
"but","were",8
"i","can",8
"in","a",8
"is","that",8
"it","the",8
"ive","been",8
"let","me",8
"many","many",8
"president","obama",8
"so","many",8
"thats","the",8
"the","only",8
"theres","no",8
"they","dont",8
"they","say",8
"up","the",8
"very","well",8
"which","is",8
"white","house",8
"you","very",8
"a","disaster",7
"and","all",7
"and","for",7
"and","in",7
"and","our",7
"and","thats",7
"be","very",7
"but","its",7
"but","the",7
"but","they",7
"but","you",7
"classified","information",7
"executive","order",7
"get","it",7
"has","been",7
"have","no",7
"in","our",7
"into","the",7
"it","very",7
"it","will",7
"its","going",7
"new","york",7
"of","this",7
"other","side",7
"over","the",7
"people","in",7
"percent","of",7
"same","thing",7
"so","much",7
"that","are",7
"that","have",7
"the","things",7
"think","its",7
"to","fix",7
"trade","deals",7
"well","do",7
"what","do",7
"with","a",7
"you","about",7
"you","were",7
"you","would",7
"a","few",6
"a","wall",6
"all","over",6
"american","steel",6
"as","well",6
"because","its",6
"build","a",6
"didnt","do",6
"do","is",6
"do","the",6
"dont","talk",6
"great","people",6
"him","and",6
"if","they",6
"in","my",6
"just","want",6
"lets","go",6
"long","before",6
"long","time",6
"many","of",6
"me","and",6
"millions","of",6
"never","seen",6
"not","a",6
"of","a",6
"of","all",6
"of","people",6
"of","that",6
"of","those",6
"part","of",6
"people","on",6
"something","that",6
"that","is",6
"the","right",6
"the","time",6
"the","white",6
"there","are",6
"there","is",6
"they","want",6
"to","come",6
"to","work",6
"up","and",6
"used","to",6
"we","got",6
"were","doing",6
"whats","going",6
"with","me",6
"you","dont",6
"you","see",6
"after","that",5
"all","the",5
"and","ive",5
"and","some",5
"and","weve",5
"back","to",5
"be","the",5
"because","the",5
"before","the",5
"ever","seen",5
"get","the",5
"go","to",5
"going","on",5
"good","time",5
"got","to",5
"have","some",5
"history","of",5
"i","tell",5
"i","told",5
"it","im",5
"it","in",5
"its","the",5
"jobs","and",5
"know","we",5
"like","they",5
"me","a",5
"of","dollars",5
"one","thing",5
"president","and",5
"president","of",5
"put","it",5
"really","really",5
"said","to",5
"shes","going",5
"so","we",5
"the","greatest",5
"the","history",5
"the","last",5
"the","wall",5
"them","and",5
"theyre","doing",5
"think","they",5
"this","room",5
"time","i",5
"to","ask",5
"to","begin",5
"to","bring",5
"to","go",5
"to","keep",5
"to","see",5
"to","stop",5
"to","use",5
"way","and",5
"we","can",5
"we","cant",5
"we","do",5
"we","dont",5
"we","want",5
"well","be",5
"working","very",5
"you","go",5
"you","i",5
"you","thank",5
"you","that",5
"youre","not",5
"a","plan",4
"a","president",4
"and","their",4
"are","not",4
"are","they",4
"as","a",4
"at","home",4
"at","least",4
"be","much",4
"been","talking",4
"before","i",4
"believe","me",4
"big","league",4
"called","him",4
"china","and",4
"country","its",4
"good","and",4
"have","an",4
"have","had",4
"i","called",4
"i","say",4
"in","and",4
"in","many",4
"in","some",4
"is","an",4
"it","on",4
"it","we",4
"its","great",4
"just","the",4
"know","it",4
"know","whats",4
"law","enforcement",4
"like","it",4
"me","the",4
"much","better",4
"nation","and",4
"never","going",4
"no","way",4
"now","its",4
"of","millions",4
"of","my",4
"our","jobs",4
"out","and",4
"people","who",4
"plan","to",4
"president","who",4
"pretty","good",4
"put","in",4
"right","i",4
"say","it",4
"see","the",4
"so","were",4
"some","people",4
"states","the",4
"thats","not",4
"the","crime",4
"the","first",4
"the","job",4
"the","next",4
"the","old",4
"the","thing",4
"there","i",4
"these","are",4
"they","just",4
"thing","that",4
"this","and",4
"through","the",4
"to","build",4
"to","give",4
"to","turn",4
"told","you",4
"up","to",4
"use","it",4
"wall","street",4
"way","that",4
"well","as",4
"well","take",4
"what","we",4
"where","is",4
"will","tell",4
"with","all",4
"you","had",4
"you","if",4
"you","tell",4
"you","think",4
"youre","going",4
"a","certain",3
"a","half",3
"a","really",3
"a","whole",3
"about","a",3
"across","the",3
"again","we",3
"almost","as",3
"am","i",3
"and","american",3
"and","frankly",3
"and","ill",3
"and","make",3
"and","other",3
"and","really",3
"and","replace",3
"and","she",3
"and","sometimes",3
"and","there",3
"and","these",3
"and","theyll",3
"and","to",3
"and","your",3
"and","youre",3
"anything","about",3
"appreciate","it",3
"are","many",3
"are","so",3
"are","the",3
"at","all",3
"at","some",3
"at","that",3
"be","so",3
"but","our",3
"but","that",3
"by","our",3
"call","it",3
"can","be",3
"cities","that",3
"come","in",3
"come","up",3
"coming","into",3
"coming","out",3
"country","i",3
"crime","you",3
"cuba","and",3
"cuban","people",3
"did","very",3
"doing","it",3
"dollars","on",3
"dont","like",3
"down","from",3
"every","day",3
"every","single",3
"for","our",3
"for","president",3
"for","their",3
"for","this",3
"for","those",3
"going","into",3
"had","the",3
"happens","to",3
"has","never",3
"have","all",3
"have","done",3
"here","in",3
"him","hes",3
"i","wouldnt",3
"ill","say",3
"ill","tell",3
"in","america",3
"in","every",3
"in","michigan",3
"in","terms",3
"in","washington",3
"inner","city",3
"into","our",3
"is","she",3
"is","there",3
"is","to",3
"is","we",3
"it","has",3
"it","out",3
"it","you",3
"its","been",3
"jobs","back",3
"just","left",3
"keep","our",3
"know","they",3
"like","you",3
"me","i",3
"me","tell",3
"military","we",3
"most","part",3
"my","opinion",3
"new","american",3
"not","have",3
"not","too",3
"now","what",3
"number","one",3
"numbers","are",3
"of","jobs",3
"off","the",3
"our","citizens",3
"our","inner",3
"pacific","partnership",3
"people","but",3
"people","like",3
"people","would",3
"percent","and",3
"proud","of",3
"radical","islamic",3
"received","a",3
"repeal","and",3
"secretary","of",3
"see","whats",3
"seen","in",3
"so","im",3
"stand","up",3
"telling","the",3
"terms","of",3
"that","if",3
"that","nobody",3
"the","cuban",3
"the","great",3
"the","jobs",3
"the","roof",3
"the","whole",3
"the","worst",3
"there","any",3
"these","people",3
"they","can",3
"they","get",3
"they","know",3
"they","would",3
"theyre","very",3
"think","hes",3
"think","i",3
"this","year",3
"to","help",3
"to","protect",3
"to","put",3
"too","many",3
"trans","pacific",3
"trump","the",3
"up","in",3
"used","it",3
"very","big",3
"very","happy",3
"very","simple",3
"way","i",3
"we","havent",3
"we","just",3
"well","and",3
"well","she",3
"went","to",3
"were","bringing",3
"what","are",3
"what","happens",3
"what","the",3
"what","they",3
"what","theyre",3
"what","were",3
"what","youre",3
"when","he",3
"when","they",3
"where","are",3
"who","are",3
"whos","a",3
"will","come",3
"will","never",3
"with","it",3
"wrote","about",3
"years","and",3
"you","agree",3
"you","one",3
"you","so",3
"youll","be",3
"a","big",2
"a","fraction",2
"a","massive",2
"a","one",2
"a","result",2
"a","review",2
"a","strong",2
"about","this",2
"agree","with",2
"all","across",2
"all","these",2
"amount","of",2
"and","everyone",2
"and","security",2
"and","shes",2
"and","who",2
"and","with",2
"anybody","else",2
"are","doing",2
"are","in",2
"are","just",2
"are","very",2
"at","her",2
"at","your",2
"away","she",2
"back","were",2
"bad","i",2
"be","in",2
"be","there",2
"billions","of",2
"bringing","our",2
"but","more",2
"but","well",2
"cities","are",2
"come","here",2
"come","into",2
"control","the",2
"country","for",2
"country","in",2
"country","the",2
"day","i",2
"doesnt","have",2
"doing","very",2
"doing","with",2
"done","in",2
"dont","need",2
"even","a",2
"even","in",2
"even","started",2
"every","time",2
"far","more",2
"fashioned","way",2
"federal","law",2
"fix","the",2
"folks","and",2
"for","itself",2
"fraction","of",2
"get","a",2
"give","me",2
"go","through",2
"good","do",2
"great","great",2
"great","job",2
"greatest","people",2
"group","and",2
"had","that",2
"happening","and",2
"happy","and",2
"happy","with",2
"have","these",2
"have","very",2
"havent","even",2
"he","wasnt",2
"hear","that",2
"here","and",2
"here","i",2
