"n_digits","upper","value","n_guesses","time"
5,10000,3584,52535,38.31163
5,10000,6449,41680,30.38843
5,10000,4394,37212,27.58367
5,10000,3275,34914,25.69841
5,10000,3368,34128,25.10131
5,10000,6068,34998,25.0792
5,10000,8553,34687,24.91197
5,10000,8551,32541,23.87693
5,10000,1668,31006,23.15166
5,10000,6714,30868,22.62013
5,10000,4578,29969,21.82276
5,10000,4204,28760,20.91613
5,10000,8378,27152,19.62042
5,10000,5568,25494,18.67612
5,10000,9208,23678,17.08145
5,10000,6657,23166,16.795
5,10000,399,21883,16.45501
5,10000,9243,22400,16.31678
5,10000,703,20676,15.17668
5,10000,6763,17785,13.19887
5,10000,9141,16737,13.12338
5,10000,8040,17231,12.47867
5,10000,722,16288,11.97567
5,10000,395,16333,11.78819
5,10000,4842,15954,11.68169
5,10000,6161,15815,11.46905
5,10000,4558,15642,11.40498
5,10000,8737,15728,11.36488
5,10000,2575,14837,11.25226
5,10000,6361,15426,11.04904
5,10000,5925,14194,10.9701
5,10000,7448,13931,10.15134
5,10000,1148,13398,9.83079
5,10000,1886,12677,9.26641
5,10000,9945,12383,9.03646
5,10000,5911,12166,8.84344
5,10000,334,11972,8.6297
5,10000,2900,11785,8.49461
5,10000,499,11512,8.33596
5,10000,5684,11426,8.30592
5,10000,4650,11376,8.24189
5,10000,1170,11035,8.05885
5,10000,1559,10868,8.02833
5,10000,4660,10491,7.59983
5,10000,4515,10291,7.50351
5,10000,2718,10061,7.32139
5,10000,96,9817,7.14116
5,10000,9906,9903,7.13163
5,10000,333,9805,7.08207
5,10000,1870,9407,6.93759
5,10000,8033,8996,6.71757
5,10000,9825,9045,6.71576
5,10000,9516,9114,6.58946
5,10000,3072,8794,6.33242
5,10000,9181,8414,6.14018
5,10000,8303,8318,6.00122
5,10000,7839,7460,5.91808
5,10000,3736,7673,5.77256
5,10000,5460,7899,5.73031
5,10000,3276,7953,5.58231
5,10000,1282,7493,5.48675
5,10000,5610,7099,5.45842
5,10000,1081,7381,5.38197
5,10000,7475,7199,5.22036
5,10000,9460,6293,4.55357
5,10000,6895,5898,4.32227
5,10000,9870,5808,4.2214
5,10000,5836,5678,4.05949
5,10000,5092,5494,4.04043
5,10000,156,5207,4.02131
5,10000,885,4836,3.51106
5,10000,5120,4615,3.44781
5,10000,659,4749,3.43614
5,10000,6745,3995,3.42059
5,10000,995,4580,3.36758
5,10000,8417,4619,3.35364
5,10000,3394,4474,3.27053
5,10000,8256,4396,3.22597
5,10000,2646,4533,3.18163
5,10000,9574,4128,3.04728
5,10000,5412,4042,3.03911
5,10000,8903,4059,2.99153
5,10000,9276,4081,2.89859
5,10000,4502,3834,2.74942
5,10000,2090,3732,2.72797
5,10000,6646,3677,2.70918
5,10000,9395,3539,2.60319
5,10000,8304,3473,2.5927
5,10000,5073,3478,2.57104
5,10000,8069,3107,2.35864
5,10000,8208,3166,2.31784
5,10000,4415,3048,2.28808
5,10000,2855,3132,2.27271
5,10000,4842,2859,2.10766
5,10000,8714,2640,1.95764
5,10000,1014,2419,1.84082
5,10000,4,2562,1.82522
5,10000,6326,2308,1.75081
5,10000,8715,2448,1.66635
5,10000,2007,2162,1.60726
5,10000,3070,1827,1.32766
5,10000,6076,1847,1.31679
5,10000,4869,1716,1.28017
5,10000,4395,1615,1.16282
5,10000,5920,1507,1.11607
5,10000,4714,1382,1.04719
5,10000,990,1219,0.95202
5,10000,3186,1175,0.90007
5,10000,1329,1039,0.79935
4,1000,578,4594,0.76971
4,1000,302,4419,0.74272
5,10000,1879,993,0.71782
4,1000,306,3888,0.67392
5,10000,3787,900,0.65506
5,10000,4602,923,0.64613
5,10000,3420,825,0.64189
4,1000,675,4023,0.63422
5,10000,399,789,0.61371
4,1000,28,3456,0.61342
4,1000,817,3140,0.56033
4,1000,612,3431,0.54917
5,10000,5087,652,0.51709
4,1000,791,3017,0.46858
4,1000,39,2191,0.44466
4,1000,216,2026,0.424
4,1000,506,2775,0.42363
5,10000,2872,585,0.41698
4,1000,357,2618,0.41039
4,1000,477,2156,0.40902
4,1000,57,2135,0.39622
4,1000,378,2562,0.39239
4,1000,128,2170,0.3919
4,1000,800,2412,0.38291
4,1000,630,2311,0.36132
4,1000,371,2345,0.35936
4,1000,331,2338,0.35836
4,1000,483,2303,0.34834
4,1000,557,2134,0.33671
5,10000,9210,463,0.31183
4,1000,986,1543,0.30394
5,10000,9491,442,0.30214
4,1000,768,1890,0.29923
4,1000,387,1926,0.29743
4,1000,795,1464,0.29569
4,1000,123,1231,0.27775
5,10000,7698,399,0.27676
4,1000,747,1679,0.2666
4,1000,846,1395,0.2635
5,10000,3030,371,0.25966
4,1000,943,1608,0.24804
4,1000,928,1599,0.24626
4,1000,60,1537,0.24018
4,1000,479,1505,0.22983
4,1000,694,1428,0.22945
4,1000,441,1306,0.22802
4,1000,930,925,0.21527
4,1000,702,1425,0.21418
4,1000,513,1346,0.21302
4,1000,892,1326,0.21258
4,1000,389,1168,0.20687
4,1000,356,996,0.19856
4,1000,947,1279,0.19749
4,1000,510,1198,0.19206
4,1000,196,1178,0.19102
4,1000,613,865,0.18921
4,1000,621,1234,0.18591
4,1000,39,1137,0.17883
4,1000,656,1100,0.17209
4,1000,593,1047,0.17066
4,1000,122,1146,0.16872
4,1000,663,616,0.16821
4,1000,456,1035,0.16488
4,1000,878,1012,0.16432
4,1000,705,568,0.15729
4,1000,829,944,0.15706
4,1000,146,964,0.15609
4,1000,935,988,0.15535
4,1000,394,1024,0.15181
4,1000,949,760,0.15067
4,1000,534,933,0.14948
4,1000,218,973,0.14943
4,1000,794,924,0.14461
4,1000,606,950,0.14414
4,1000,77,906,0.14071
4,1000,13,849,0.1405
4,1000,972,578,0.13839
4,1000,616,882,0.13271
4,1000,708,812,0.13147
4,1000,433,782,0.13046
5,10000,8781,200,0.13036
4,1000,750,773,0.13029
4,1000,532,867,0.13
4,1000,484,778,0.12982
4,1000,628,744,0.11405
4,1000,805,696,0.11357
4,1000,959,748,0.11219
4,1000,977,714,0.11172
4,1000,799,629,0.10929
4,1000,950,674,0.10822
4,1000,885,649,0.10729
4,1000,802,390,0.10197
4,1000,259,599,0.09926
5,10000,5143,94,0.09781
4,1000,177,598,0.09671
4,1000,662,569,0.08947
4,1000,125,582,0.08838
4,1000,935,576,0.08509
4,1000,482,506,0.07617
