"n_digits","upper","value","n_guesses","time"
5,10000,7475,9555,12.9826
5,10000,7839,8641,10.9754
5,10000,1559,9932,10.84645
5,10000,2872,9898,10.24923
5,10000,4602,9914,10.10326
5,10000,9574,9709,9.95637
5,10000,5925,9308,9.4977
5,10000,5120,8832,9.15101
5,10000,1870,9006,9.08693
5,10000,9460,8932,9.08494
5,10000,4578,8894,9.04427
5,10000,990,9124,9.02099
5,10000,5143,8599,8.96096
5,10000,6076,8581,8.92715
5,10000,333,8727,8.89097
5,10000,4714,8783,8.86451
5,10000,8069,7339,8.80481
5,10000,6714,8803,8.65586
5,10000,4502,8440,8.60528
5,10000,3275,8742,8.49547
5,10000,399,8034,8.43951
5,10000,5087,8082,8.21654
5,10000,96,8017,8.03892
5,10000,995,7855,7.85923
5,10000,8781,7630,7.82236
5,10000,2575,7723,7.79425
5,10000,6326,7674,7.77816
5,10000,9243,7823,7.7635
5,10000,4842,8140,7.7519
5,10000,9395,7352,7.65677
5,10000,7448,7618,7.55031
5,10000,9870,7431,7.51998
5,10000,703,7508,7.46703
5,10000,8737,7613,7.43184
5,10000,1170,7533,7.41977
5,10000,6646,7551,7.35577
5,10000,8551,7286,7.35399
5,10000,722,7491,7.31387
5,10000,8208,7402,7.29764
5,10000,9276,7373,7.16093
5,10000,5073,7049,7.00664
5,10000,8553,6984,6.88056
5,10000,9210,6871,6.67025
5,10000,8033,6641,6.46368
5,10000,9945,5872,6.40113
5,10000,3070,6406,6.38075
5,10000,8715,6349,6.12065
5,10000,3787,5986,6.06123
5,10000,499,6375,5.90619
5,10000,3584,6067,5.86364
5,10000,3030,5960,5.80385
5,10000,5092,5865,5.66915
5,10000,3072,5717,5.61033
5,10000,1886,5535,5.48196
5,10000,6895,5570,5.44998
5,10000,3186,5557,5.33668
5,10000,5568,5431,5.31905
5,10000,5911,5395,5.22188
5,10000,1081,5194,5.0298
5,10000,8378,5420,5.02585
5,10000,9825,5149,4.99354
5,10000,9491,5091,4.86723
5,10000,5920,4966,4.79716
5,10000,8303,4765,4.71326
5,10000,5610,4868,4.69054
5,10000,4395,4732,4.57829
5,10000,3420,4792,4.53568
5,10000,6161,4587,4.46555
5,10000,8040,4622,4.38354
5,10000,2090,4422,4.2821
5,10000,4650,4356,4.09732
5,10000,395,4220,4.04818
5,10000,9181,4227,4.03714
5,10000,1282,4158,3.98505
5,10000,399,3650,3.89817
5,10000,2900,4197,3.84671
5,10000,4869,4123,3.83324
5,10000,1014,3996,3.78923
5,10000,6763,3819,3.65947
5,10000,2718,3833,3.65487
5,10000,1148,3659,3.4257
5,10000,156,3597,3.298
5,10000,659,3270,2.99786
5,10000,4394,3014,2.93434
5,10000,885,2760,2.652
5,10000,7698,2848,2.59081
5,10000,1879,2790,2.58009
5,10000,3368,2753,2.54583
5,10000,4204,2657,2.45379
5,10000,5836,2596,2.44303
5,10000,2646,2628,2.41908
5,10000,9141,2303,2.13608
5,10000,9906,2262,2.12778
5,10000,8256,2134,2.0363
5,10000,5684,2187,2.00401
5,10000,4660,2156,1.98623
5,10000,6449,2021,1.91329
5,10000,1329,1932,1.85666
5,10000,1668,1822,1.67843
5,10000,9208,1704,1.64305
5,10000,334,1777,1.6347
5,10000,6745,1683,1.59387
5,10000,8304,1733,1.57613
5,10000,2855,1624,1.54885
5,10000,2007,1613,1.48758
5,10000,6361,1504,1.46115
5,10000,6657,1454,1.31224
5,10000,3736,1360,1.3025
5,10000,8417,1038,1.09675
5,10000,3394,1148,1.0531
5,10000,3276,1088,1.01621
5,10000,4515,878,0.86505
5,10000,4842,790,0.7194
5,10000,4558,719,0.64511
5,10000,5460,718,0.64317
5,10000,4415,660,0.61939
5,10000,9516,533,0.53989
5,10000,5412,445,0.38193
5,10000,8903,389,0.332
4,1000,302,944,0.27808
5,10000,6068,237,0.21965
5,10000,4,245,0.21064
4,1000,921,991,0.20236
4,1000,805,987,0.18095
4,1000,125,992,0.17785
4,1000,938,911,0.17306
4,1000,813,999,0.16688
4,1000,357,933,0.16538
4,1000,513,889,0.16452
4,1000,621,959,0.16392
4,1000,593,876,0.16131
4,1000,747,894,0.16105
4,1000,180,946,0.15758
4,1000,702,848,0.15688
4,1000,57,853,0.15636
4,1000,28,807,0.15567
4,1000,356,804,0.15544
4,1000,887,907,0.15518
4,1000,229,806,0.15335
4,1000,628,853,0.15322
4,1000,557,800,0.15168
4,1000,196,854,0.15139
4,1000,387,838,0.15033
4,1000,394,824,0.14996
4,1000,204,790,0.14964
4,1000,791,784,0.14841
4,1000,589,784,0.14604
4,1000,506,820,0.14554
4,1000,705,822,0.14509
4,1000,694,842,0.14422
4,1000,46,790,0.13836
4,1000,11,678,0.13612
4,1000,188,752,0.13599
4,1000,800,715,0.13541
4,1000,885,611,0.13497
4,1000,511,707,0.13336
4,1000,578,626,0.13279
4,1000,915,689,0.13167
4,1000,146,720,0.13092
4,1000,856,616,0.12912
4,1000,122,686,0.12856
4,1000,386,743,0.12837
4,1000,663,730,0.12794
4,1000,959,638,0.12722
4,1000,930,739,0.12676
4,1000,935,700,0.12638
4,1000,297,610,0.12441
4,1000,105,639,0.12326
4,1000,515,652,0.12319
4,1000,5,667,0.12151
4,1000,768,663,0.12125
4,1000,259,640,0.12102
4,1000,482,692,0.11999
4,1000,190,656,0.11988
4,1000,173,594,0.11614
4,1000,13,651,0.11603
4,1000,225,675,0.11596
4,1000,477,618,0.11536
4,1000,177,624,0.11516
4,1000,745,600,0.11479
4,1000,817,315,0.11382
4,1000,740,593,0.11231
4,1000,378,619,0.11199
4,1000,768,621,0.11154
4,1000,259,548,0.10941
4,1000,977,576,0.10795
4,1000,371,580,0.10743
4,1000,972,586,0.10741
4,1000,77,551,0.10362
4,1000,403,583,0.10318
4,1000,51,481,0.10027
4,1000,546,512,0.09623
4,1000,381,481,0.09465
4,1000,935,417,0.09287
4,1000,216,492,0.09133
4,1000,802,387,0.08957
4,1000,606,426,0.08867
4,1000,616,470,0.0875
4,1000,943,416,0.08463
5,10000,8714,68,0.08392
4,1000,786,474,0.08236
4,1000,175,382,0.08217
4,1000,60,420,0.08101
4,1000,301,435,0.07946
4,1000,39,407,0.07744
4,1000,778,405,0.07618
4,1000,441,397,0.07596
4,1000,950,336,0.07411
4,1000,928,381,0.07336
4,1000,871,376,0.06924
4,1000,646,371,0.06866
4,1000,656,339,0.06765
4,1000,483,368,0.06542
4,1000,630,223,0.06442
4,1000,863,241,0.06289
4,1000,534,243,0.06256
4,1000,947,324,0.06177
4,1000,799,278,0.0613
4,1000,846,273,0.06034
4,1000,510,327,0.05844
4,1000,675,321,0.05818
4,1000,953,311,0.05788
4,1000,532,270,0.05463
4,1000,599,247,0.05258
4,1000,456,226,0.0516
4,1000,949,255,0.05092
4,1000,484,255,0.04643
4,1000,708,202,0.04416
4,1000,612,194,0.04263
4,1000,613,209,0.04164
4,1000,542,200,0.04157
4,1000,117,186,0.03996
4,1000,794,200,0.03629
4,1000,123,180,0.03471
4,1000,553,184,0.0335
4,1000,662,170,0.03243
4,1000,633,156,0.03016
3,100,9,88,0.02646
4,1000,642,127,0.02618
4,1000,829,104,0.02305
4,1000,39,114,0.02268
4,1000,218,103,0.02219
4,1000,128,97,0.02126
3,100,25,87,0.02089
4,1000,306,97,0.01985
4,1000,795,90,0.01917
4,1000,166,91,0.01915
4,1000,878,89,0.01905
4,1000,331,109,0.01884
3,100,73,88,0.01849
3,100,66,96,0.01749
3,100,12,86,0.01652
3,100,61,88,0.01642
3,100,6,79,0.01589
4,1000,892,60,0.01583
3,100,72,89,0.01558
3,100,41,99,0.01528
3,100,97,89,0.01508
4,1000,844,61,0.01503
3,100,31,88,0.01485
3,100,63,70,0.0142
4,1000,986,84,0.01366
3,100,81,81,0.01351
3,100,51,87,0.01335
3,100,50,94,0.01301
3,100,72,65,0.013
3,100,56,79,0.01298
3,100,81,91,0.01296
3,100,34,95,0.01285
3,100,16,95,0.01257
3,100,68,98,0.01249
3,100,41,59,0.01236
3,100,95,80,0.0123
3,100,79,78,0.01221
3,100,1,73,0.01219
3,100,93,79,0.01215
3,100,98,74,0.01195
3,100,82,77,0.0118
4,1000,433,71,0.01176
3,100,91,75,0.01165
3,100,42,55,0.01134
3,100,84,48,0.01129
3,100,42,84,0.01127
3,100,68,51,0.01122
4,1000,217,66,0.01084
4,1000,389,63,0.01077
3,100,96,44,0.01063
3,100,10,78,0.01061
3,100,59,76,0.01031
3,100,56,81,0.01024
3,100,49,61,0.00976
3,100,30,71,0.00968
3,100,18,70,0.00966
3,100,84,62,0.00944
3,100,69,61,0.00943
3,100,67,66,0.00939
3,100,83,67,0.00905
3,100,87,61,0.00901
3,100,8,63,0.00891
3,100,3,67,0.00886
3,100,58,57,0.00838
3,100,55,59,0.00832
3,100,42,58,0.00828
3,100,24,47,0.00819
3,100,72,31,0.00801
3,100,89,50,0.00795
3,100,51,55,0.00787
3,100,51,53,0.00745
3,100,11,54,0.00738
3,100,35,40,0.00695
3,100,23,47,0.00681
3,100,27,47,0.0067
3,100,69,48,0.00666
3,100,7,50,0.00666
3,100,70,50,0.00663
3,100,71,45,0.0064
3,100,99,49,0.00639
3,100,62,30,0.00635
3,100,1,44,0.00619
3,100,78,40,0.00614
3,100,99,42,0.00609
3,100,40,46,0.00598
3,100,46,37,0.00595
3,100,25,41,0.00575
3,100,39,41,0.00556
3,100,12,37,0.00551
3,100,63,38,0.00539
3,100,64,32,0.00533
3,100,71,38,0.00523
3,100,98,36,0.00485
3,100,84,31,0.00477
3,100,89,33,0.0047
3,100,94,30,0.00469
3,100,2,32,0.00468
3,100,77,37,0.00463
3,100,24,32,0.0046
2,10,9,33,0.00459
3,100,3,34,0.00449
3,100,22,33,0.00447
3,100,57,35,0.00436
3,100,84,34,0.00429
3,100,19,32,0.00425
3,100,23,30,0.00423
2,10,8,13,0.00419
3,100,67,30,0.0041
3,100,29,27,0.00405
3,100,2,27,0.00401
3,100,59,26,0.00396
3,100,32,27,0.00387
4,1000,479,24,0.00379
3,100,3,20,0.00376
3,100,80,25,0.00373
3,100,93,28,0.00365
2,10,10,22,0.00357
3,100,1,24,0.00351
3,100,26,24,0.00349
2,10,3,19,0.00348
3,100,92,25,0.00344
4,1000,196,20,0.00343
2,10,3,6,0.00337
3,100,31,22,0.00323
3,100,87,20,0.0031
3,100,10,23,0.00305
3,100,57,21,0.00292
3,100,80,20,0.00289
2,10,5,23,0.00287
3,100,37,20,0.00277
3,100,15,21,0.00267
3,100,69,18,0.00259
3,100,48,20,0.00257
3,100,28,19,0.00253
2,10,9,9,0.00205
3,100,48,12,0.00196
3,100,60,14,0.00194
2,10,2,12,0.00194
3,100,75,15,0.00192
2,10,7,10,0.00188
3,100,23,14,0.00186
3,100,95,14,0.00183
2,10,4,13,0.00181
2,10,6,12,0.00166
2,10,2,11,0.00155
2,10,10,12,0.00152
3,100,26,11,0.00147
3,100,98,10,0.00146
2,10,6,10,0.00142
