"n_digits","upper","value","n_guesses","time"
5,10000,3584,52535,36.3861
5,10000,6449,41680,28.91161
5,10000,4394,37212,26.01341
5,10000,6068,34998,24.25583
5,10000,3275,34914,24.19458
5,10000,8553,34687,23.93292
5,10000,3368,34128,23.85761
5,10000,8551,32541,22.69494
5,10000,6714,30868,21.87693
5,10000,1668,31006,21.69909
5,10000,4578,29969,20.96613
5,10000,4204,28760,20.12236
5,10000,8378,27152,19.48177
5,10000,5568,25494,17.75175
5,10000,9208,23678,16.49864
5,10000,6657,23166,16.10938
5,10000,9243,22400,15.55268
5,10000,399,21883,15.18115
5,10000,703,20676,14.2529
5,10000,6763,17785,12.37939
5,10000,8040,17231,11.88849
5,10000,9141,16737,11.69286
5,10000,722,16288,11.40786
5,10000,395,16333,11.3153
5,10000,4842,15954,11.10148
5,10000,6161,15815,10.98959
5,10000,8737,15728,10.96267
5,10000,4558,15642,10.90488
5,10000,6361,15426,10.5893
5,10000,2575,14837,10.2897
5,10000,5925,14194,10.07718
5,10000,7448,13931,9.71811
5,10000,1886,12677,9.54342
5,10000,1148,13398,9.40164
5,10000,9945,12383,8.64828
5,10000,5911,12166,8.35276
5,10000,334,11972,8.33446
5,10000,2900,11785,8.17801
5,10000,5684,11426,8.15529
5,10000,4650,11376,7.99815
5,10000,499,11512,7.99793
5,10000,1170,11035,7.77416
5,10000,4660,10491,7.70452
5,10000,1559,10868,7.6126
5,10000,4515,10291,7.18344
5,10000,2718,10061,6.93357
5,10000,9906,9903,6.9174
5,10000,333,9805,6.84415
5,10000,96,9817,6.83285
5,10000,1870,9407,6.5833
5,10000,8033,8996,6.33763
5,10000,9825,9045,6.30238
5,10000,9516,9114,6.28626
5,10000,3072,8794,6.14264
5,10000,9181,8414,5.96871
5,10000,8303,8318,5.79208
5,10000,3276,7953,5.54751
5,10000,5460,7899,5.54335
5,10000,3736,7673,5.36708
5,10000,7839,7460,5.20725
5,10000,1282,7493,5.19218
5,10000,1081,7381,5.14782
5,10000,7475,7199,5.00718
5,10000,5610,7099,4.97689
5,10000,9460,6293,4.39171
5,10000,6895,5898,4.12309
5,10000,9870,5808,4.03796
5,10000,5836,5678,3.91604
5,10000,5092,5494,3.86533
5,10000,156,5207,3.63965
5,10000,2646,4533,3.61833
5,10000,885,4836,3.41115
5,10000,8417,4619,3.3158
5,10000,659,4749,3.30394
5,10000,995,4580,3.21531
5,10000,5120,4615,3.17368
5,10000,8256,4396,3.10878
5,10000,3394,4474,3.08928
5,10000,9276,4081,2.92628
5,10000,9574,4128,2.9233
5,10000,6745,3995,2.9186
5,10000,5412,4042,2.8809
5,10000,8903,4059,2.87726
5,10000,4502,3834,2.65897
5,10000,2090,3732,2.61033
5,10000,6646,3677,2.57726
5,10000,9395,3539,2.47798
5,10000,8304,3473,2.46725
5,10000,5073,3478,2.4423
5,10000,8069,3107,2.19433
5,10000,8208,3166,2.19216
5,10000,2855,3132,2.17585
5,10000,4415,3048,2.13875
5,10000,4842,2859,2.07652
5,10000,8714,2640,1.87823
5,10000,4,2562,1.80993
5,10000,8715,2448,1.71102
5,10000,1014,2419,1.70579
5,10000,6326,2308,1.63634
5,10000,2007,2162,1.50294
5,10000,3070,1827,1.32159
5,10000,6076,1847,1.28916
5,10000,4869,1716,1.22576
5,10000,4395,1615,1.16842
5,10000,5920,1507,1.05001
5,10000,4714,1382,1.00687
5,10000,990,1219,0.9092
5,10000,3186,1175,0.81809
4,1000,302,4419,0.74197
5,10000,1879,993,0.74038
5,10000,1329,1039,0.72991
4,1000,578,4594,0.7214
4,1000,675,4023,0.70799
5,10000,4602,923,0.66062
5,10000,3787,900,0.65275
5,10000,3420,825,0.63234
4,1000,306,3888,0.60193
4,1000,612,3431,0.58891
5,10000,399,789,0.58714
4,1000,28,3456,0.52293
4,1000,817,3140,0.5004
4,1000,506,2775,0.49078
4,1000,791,3017,0.46751
5,10000,5087,652,0.42532
4,1000,357,2618,0.40818
4,1000,378,2562,0.39966
5,10000,2872,585,0.39582
4,1000,800,2412,0.38773
4,1000,331,2338,0.37454
4,1000,483,2303,0.36653
4,1000,371,2345,0.36456
4,1000,630,2311,0.35511
4,1000,128,2170,0.34528
4,1000,39,2191,0.33874
4,1000,557,2134,0.33687
4,1000,57,2135,0.33092
4,1000,477,2156,0.325
5,10000,3030,371,0.3153
5,10000,9210,463,0.30894
4,1000,387,1926,0.30703
4,1000,216,2026,0.30461
5,10000,9491,442,0.29719
4,1000,768,1890,0.28588
4,1000,747,1679,0.26963
4,1000,943,1608,0.26579
5,10000,7698,399,0.26556
4,1000,928,1599,0.258
4,1000,196,1178,0.25708
4,1000,60,1537,0.25579
4,1000,986,1543,0.24417
4,1000,479,1505,0.23366
4,1000,694,1428,0.22927
4,1000,795,1464,0.22872
4,1000,702,1425,0.22758
4,1000,892,1326,0.218
4,1000,513,1346,0.2157
4,1000,846,1395,0.21237
4,1000,146,964,0.2104
4,1000,441,1306,0.20726
4,1000,621,1234,0.20399
4,1000,947,1279,0.20105
4,1000,123,1231,0.20072
4,1000,389,1168,0.19043
4,1000,510,1198,0.19022
4,1000,122,1146,0.18258
4,1000,39,1137,0.1806
4,1000,805,696,0.17835
4,1000,593,1047,0.17129
4,1000,356,996,0.17033
4,1000,656,1100,0.1659
4,1000,878,1012,0.16396
4,1000,935,988,0.15911
4,1000,394,1024,0.15846
4,1000,456,1035,0.15754
4,1000,930,925,0.15379
4,1000,534,933,0.15081
4,1000,794,924,0.15062
4,1000,218,973,0.14955
4,1000,829,944,0.14751
4,1000,613,865,0.14747
4,1000,606,950,0.14668
4,1000,77,906,0.14514
5,10000,8781,200,0.14406
4,1000,616,882,0.14213
4,1000,13,849,0.1374
4,1000,532,867,0.1359
4,1000,708,812,0.13552
4,1000,750,773,0.12967
4,1000,949,760,0.12764
4,1000,433,782,0.12761
4,1000,484,778,0.12439
4,1000,628,744,0.12132
4,1000,977,714,0.12065
4,1000,959,748,0.11764
4,1000,802,390,0.1103
4,1000,799,629,0.11025
4,1000,950,674,0.10847
4,1000,885,649,0.10444
4,1000,663,616,0.10357
4,1000,259,599,0.10027
4,1000,177,598,0.09901
4,1000,935,576,0.09526
4,1000,705,568,0.09428
4,1000,125,582,0.09332
4,1000,972,578,0.09282
4,1000,662,569,0.09256
4,1000,117,366,0.08359
4,1000,482,506,0.08113
4,1000,646,416,0.07531
3,100,68,491,0.07464
4,1000,642,424,0.07434
3,100,87,489,0.06971
4,1000,745,396,0.06938
4,1000,297,417,0.06708
4,1000,105,398,0.06608
4,1000,46,369,0.06535
5,10000,5143,94,0.06523
4,1000,166,397,0.06348
4,1000,229,377,0.06175
4,1000,915,366,0.06136
4,1000,217,268,0.0613
4,1000,589,343,0.06052
4,1000,608,359,0.05925
4,1000,871,352,0.05911
3,100,92,395,0.05903
4,1000,786,317,0.0585
4,1000,11,338,0.05827
4,1000,515,321,0.05821
4,1000,175,334,0.0578
4,1000,599,326,0.05148
4,1000,225,269,0.05089
3,100,80,297,0.04425
4,1000,863,219,0.03968
3,100,55,274,0.03867
4,1000,190,221,0.0383
3,100,63,244,0.03773
4,1000,381,199,0.03605
3,100,19,240,0.03527
3,100,26,253,0.03493
3,100,10,99,0.0347
4,1000,768,174,0.03463
4,1000,204,194,0.03305
3,100,79,220,0.03143
4,1000,844,177,0.03094
4,1000,953,186,0.03021
3,100,64,167,0.02886
4,1000,938,145,0.02744
3,100,24,178,0.02657
4,1000,778,162,0.02632
3,100,50,190,0.0263
3,100,29,194,0.02626
3,100,32,181,0.0258
4,1000,633,148,0.02566
3,100,35,190,0.02524
4,1000,51,99,0.02479
3,100,42,135,0.02453
4,1000,813,141,0.02249
3,100,30,152,0.0223
3,100,23,153,0.02208
3,100,23,160,0.02173
4,1000,259,121,0.02029
3,100,59,156,0.01987
3,100,49,140,0.01984
3,100,72,153,0.01971
3,100,89,139,0.01954
3,100,21,152,0.01933
4,1000,180,126,0.01841
3,100,1,135,0.01829
3,100,93,120,0.01814
4,1000,856,59,0.01809
3,100,26,134,0.01755
3,100,18,122,0.01657
4,1000,740,92,0.01639
