hiccup_num,ms
1,936
2,865
3,603
4,789
5,457
6,786
7,950
8,788
9,880
10,1183
11,527
12,1045
13,590
14,786
15,2013
16,594
17,746
18,516
19,729
20,1060
21,478
22,716
23,740
24,1721
25,666
26,605
27,927
28,575
29,611
30,579
31,680
32,466
33,545
34,576
35,1331
36,840
37,1733
38,620
39,776
40,1016
41,712
42,813
43,640
44,1166
45,595
46,706
47,566
48,756
49,2186
50,540
51,966
52,566
53,673
54,536
55,636
56,520
57,646
58,634
59,486
60,585
61,721
62,1009
63,899
64,677
65,686
66,910
67,1105
68,706
69,883
70,1032
71,1008
72,853
73,795
74,664
75,659
76,1480
77,782
78,817
79,540
80,543
81,680
82,672
83,576
84,796
85,1078
86,1030
87,562
88,1684
89,1573
90,960
91,742
92,824
93,885
94,737
95,718
96,914
97,1233
98,1013
99,993
100,1559
101,841
102,585
103,707
104,989
105,1293
106,856
107,721
108,1019
109,824
110,775
111,773
112,867
113,1471
114,761
115,2183
116,1353
117,1306
118,1631
119,920
120,806
121,680
122,713
123,1641
124,1130
125,1470
126,2225
127,653
128,887
129,750
130,1016
131,862
132,957
