msa_cd	year	lhpi_real	lpci_real
10180	1975	4.882301	2.185769
10180	1976	4.844059	2.201513
10180	1977	4.815117	2.22195
10180	1978	4.768689	2.262859
10180	1979	4.687458	2.260116
10180	1980	4.60517	2.267994
10180	1981	4.541092	2.339463
10180	1982	4.503232	2.299059
10180	1983	4.505755	2.283389
10180	1984	4.509645	2.32839
10180	1985	4.520114	2.362529
10180	1986	4.765938	2.357447
10180	1987	4.738287	2.330619
10180	1988	4.579911	2.37014
10180	1989	4.504842	2.373379
10180	1990	4.432364	2.355418
10180	1991	4.453841	2.349717
10180	1992	4.489966	2.36295
10180	1993	4.516015	2.354434
10180	1994	4.50292	2.335111
10180	1995	4.513969	2.374173
10180	1996	4.534594	2.42489
10180	1997	4.532608	2.473133
10180	1998	4.544308	2.495828
10180	1999	4.569022	2.520249
10180	2000	4.543327	2.532436
10180	2001	4.557471	2.500695
10180	2002	4.58012	2.532361
10180	2003	4.578779	2.553939
10180	2004	4.586595	2.563353
10180	2005	4.618245	2.572335
10180	2006	4.671702	2.597205
10180	2007	4.713143	2.658396
10180	2008	4.699618	2.727994
10180	2009	4.719564	2.654497
10180	2010	4.705177	2.671452
10180	2011	4.657809	2.685961
10420	1975	4.681284	2.259143
10420	1976	4.646372	2.297431
10420	1977	4.670043	2.356913
10420	1978	4.74912	2.395435
10420	1979	4.723526	2.365322
10420	1980	4.60517	2.318262
10420	1981	4.509471	2.311775
10420	1982	4.414099	2.285757
10420	1983	4.37613	2.269343
10420	1984	4.336003	2.322071
10420	1985	4.342929	2.355062
10420	1986	4.383635	2.385478
10420	1987	4.418902	2.399085
10420	1988	4.441494	2.418038
10420	1989	4.446371	2.44575
10420	1990	4.458986	2.442332
10420	1991	4.465592	2.422353
10420	1992	4.50368	2.457174
10420	1993	4.529697	2.467777
10420	1994	4.546269	2.495867
10420	1995	4.571842	2.523911
10420	1996	4.599631	2.536792
10420	1997	4.617394	2.565964
10420	1998	4.647278	2.607462
10420	1999	4.66537	2.624878
10420	2000	4.659049	2.645581
10420	2001	4.686078	2.616765
10420	2002	4.713687	2.631277
10420	2003	4.72653	2.649814
10420	2004	4.723472	2.648875
10420	2005	4.722689	2.651459
10420	2006	4.707237	2.687196
10420	2007	4.666956	2.705722
10420	2008	4.60697	2.707327
10420	2009	4.597169	2.678816
10420	2010	4.549083	2.684278
10420	2011	4.481501	2.705364
10500	1975	4.722761	1.873937
10500	1976	4.720401	1.915093
10500	1977	4.720749	1.920271
10500	1978	4.720517	1.990609
10500	1979	4.689883	1.996405
10500	1980	4.60517	1.957415
10500	1981	4.522349	1.967672
10500	1982	4.486172	1.954048
10500	1983	4.47489	1.97582
10500	1984	4.464119	2.048786
10500	1985	4.452783	2.047477
10500	1986	4.525338	2.059648
10500	1987	4.494936	2.060878
10500	1988	4.492536	2.105768
10500	1989	4.420498	2.131181
10500	1990	4.411961	2.157499
10500	1991	4.393264	2.187816
10500	1992	4.399418	2.202298
10500	1993	4.39488	2.201618
10500	1994	4.395645	2.262719
10500	1995	4.401968	2.279708
10500	1996	4.414991	2.301393
10500	1997	4.435575	2.306152
10500	1998	4.455864	2.318757
10500	1999	4.462866	2.323557
10500	2000	4.457259	2.336535
10500	2001	4.463451	2.368892
10500	2002	4.480103	2.389753
10500	2003	4.505271	2.407654
10500	2004	4.528967	2.419072
10500	2005	4.557278	2.43146
10500	2006	4.589516	2.431455
10500	2007	4.600576	2.45238
10500	2008	4.582381	2.465453
10500	2009	4.587561	2.471879
10500	2010	4.547185	2.489724
10500	2011	4.47515	2.503074
10580	1975	4.608468	2.185075
10580	1976	4.626524	2.207051
10580	1977	4.689998	2.232164
10580	1978	4.769068	2.26165
10580	1979	4.675592	2.273096
10580	1980	4.60517	2.283606
10580	1981	4.544457	2.288322
10580	1982	4.541477	2.320278
10580	1983	4.56351	2.341082
10580	1984	4.639039	2.392295
10580	1985	4.713009	2.419163
10580	1986	4.860604	2.451888
10580	1987	4.997665	2.459941
10580	1988	5.06764	2.482615
10580	1989	5.062418	2.509439
10580	1990	5.021005	2.490001
10580	1991	4.988966	2.476154
10580	1992	4.972742	2.482967
10580	1993	4.942996	2.474436
10580	1994	4.892221	2.482611
10580	1995	4.837263	2.486985
10580	1996	4.805679	2.497873
10580	1997	4.776116	2.533624
10580	1998	4.782619	2.564606
10580	1999	4.773942	2.5839
10580	2000	4.766778	2.614577
10580	2001	4.796965	2.635635
10580	2002	4.8384	2.610399
10580	2003	4.897367	2.612024
10580	2004	4.994312	2.629844
10580	2005	5.098005	2.628514
10580	2006	5.145058	2.644183
10580	2007	5.149434	2.668274
10580	2008	5.112994	2.681795
10580	2009	5.096548	2.658885
10580	2010	5.068635	2.688898
10580	2011	5.031078	2.701064
10740	1975	4.686224	2.166313
10740	1976	4.689494	2.213948
10740	1977	4.600399	2.217815
10740	1978	4.627021	2.253997
10740	1979	4.624951	2.214042
10740	1980	4.60517	2.188632
10740	1981	4.552021	2.177328
10740	1982	4.51225	2.188753
10740	1983	4.514806	2.206285
10740	1984	4.531573	2.256469
10740	1985	4.546719	2.302167
10740	1986	4.583682	2.331252
10740	1987	4.590468	2.339629
10740	1988	4.561876	2.356048
10740	1989	4.554585	2.379105
10740	1990	4.507334	2.391626
10740	1991	4.485637	2.403811
10740	1992	4.499228	2.40889
10740	1993	4.521343	2.417922
10740	1994	4.585976	2.434056
10740	1995	4.612156	2.438583
10740	1996	4.603893	2.442958
10740	1997	4.5864	2.444901
10740	1998	4.582264	2.468444
10740	1999	4.552525	2.461297
10740	2000	4.519839	2.48252
10740	2001	4.513635	2.513818
10740	2002	4.522713	2.487776
10740	2003	4.551634	2.492196
10740	2004	4.614094	2.531312
10740	2005	4.710406	2.55366
10740	2006	4.819604	2.569609
10740	2007	4.861396	2.577418
10740	2008	4.808112	2.573579
10740	2009	4.762899	2.544509
10740	2010	4.70753	2.530638
10740	2011	4.622021	2.522436
10780	1975	4.729956	1.913356
10780	1976	4.722878	1.965629
10780	1977	4.723038	1.9782
10780	1978	4.719934	2.022714
10780	1979	4.681059	2.007154
